"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"BASF Corp","Germany/BASF SE","$638875","$301625","$337250"
"Bayer Corp (Bayer AG)","Germany/Bayer AG","$278000","$86500","$191500"
"BBVA Compass","Spain/Banco Bilbao Vizcaya Argentaria","$250500","$69500","$181000"
"Beam Suntory (Suntory Holdings)","Japan/Suntory Holdings","$29070","$4000","$25070"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$0","$0","$0"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$106984","$42500","$64484"
"BMO Harris Bank (Bank of Montreal)","Canada/Bank of Montreal","$61765","$38460","$23305"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$123500","$61500","$62000"
"Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$40500","$20500","$20000"
"BP","UK/BP PLC","$348500","$117000","$231500"
"Bridgestone Americas","Japan/Bridgestone Corp","$28000","$6000","$22000"
"Brightspring Health Services (Onex Corp)","Canada/Onex Corp","$9950","$2700","$7250"
"Bumble Bee Foods","UK/Lion Capital","$8000","$2000","$6000"
"Buzzi Unicem USA (Buzzi Unicem SpA)","Italy/Buzzi Unicem SpA","$0","$0","$0"
"CalPortland Co","Japan/Taiheiyo Cement Co","$103500","$6000","$97500"
"Cardtronics Inc","UK/Cardtronics Plc","$2500","$0","$2500"
"Carmeuse Lime","Netherlands/Carmeuse SA","$0","$0","$0"
"Case New Holland","Netherlands/CNH Industrial","$92000","$8000","$84000"
"CEMEX Inc","Mexico/CEMEX SAB de CV","$279000","$47000","$232000"
"CGI Technologies & Solutions","Canada/CGI Group","$44500","$20500","$24000"
"Chicago Bridge & Iron (McDermott International)","Panama/McDermott International","$91500","$24500","$67000"
"Chubb Group of Insurance Companies","Switzerland/Chubb Ltd","$205000","$79000","$126000"
"CIBC Bancorp","Canada/Canadian Imperial Bank of Commerce","$2000","$0","$2000"
"Cirrus Aircraft Corp","China/Aviation Industry Corporation of China","$6000","$2000","$4000"
"CMOC Mining USA (China Molybdenum Co)","China/China Molybdenum Co","$1500","$0","$1500"
"Cobham Management Services","UK/Cobham PLC","$176500","$57500","$119000"
"Columbia Pipeline Group (TransCanada Corp)","Canada/TransCanada Corp","$500","$3500","-$3000"
"Commonwealth-Altadis (Imperial Brands)","UK/Imperial Tobacco Group","$0","$0","$0"
"Continental Automotive Systems (Continental AG)","Germany/Continental AG","$122000","$47500","$74500"
"Covestro LLC (Covestro AG)","Germany/Covestro AG","$35000","$9500","$25500"
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$364000","$187500","$176500"
"CRH Americas (CRH PLC)","Ireland/CRH PLC","$468750","$149000","$319750"
"CSL Behring","Australia/CSL Ltd","$83500","$23000","$60500"
"Daiichi Sankyo Inc","Japan/Daiichi Sanyko","$75500","$30000","$45500"
"Daimler Trucks North America (Daimler AG)","Germany/Daimler AG","$4000","$2000","$2000"
"Delhaize America","Belgium/Ahold Delhaize","$20750","$6250","$12000"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$16500","$5000","$11500"
"DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$0","$0","$0"
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$58085","$32821","$25264"
"Direct Energy Inc","UK/Centrica Plc","$33500","$9000","$24500"
"Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$58000","$9000","$49000"
"EDF Renewables (EDF Group)","France/EDF Group","$34000","$11500","$22500"
"EDP Renewables NA","Portugal/EDP - Energias de Portugal","$21500","$8500","$11500"
"Eisai Inc","Japan/Eisai Co Ltd","$29000","$13000","$16000"
"Elbit Systems of America","Israel/Elbit Systems Ltd","$79500","$13500","$66000"
"Elekta Inc (Elekta AB)","Sweden/Elekta AB","$48000","$23500","$24500"
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$37500","$7500","$30000"
"EMD Serono Inc","Germany/Merck KGaA","$169000","$84000","$85000"
"Empire District Electric (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","$4500","$0","$4500"
"Empower Retirement (Power Financial Corp)","Canada/Power Financial Corp","$30500","$7500","$23000"
"Enbridge Inc","Canada/Enbridge Inc","$120200","$21500","$92200"
"EnCana Oil & Gas USA","Canada/EnCana Corp","$24500","$7000","$17500"
"Endo Pharmaceuticals","Ireland/Endo International","$88500","$26000","$62500"
"ENGIE North America","France/ENGIE","$4500","$1000","$2500"
"Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$12500","$2000","$10500"
"Essent US Holdings","UK/Essent Group","$6000","$1000","$5000"
"Experian","UK/Experian","$552000","$186500","$365500"
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$348700","$103000","$245700"
"First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$1000","$1000","$0"
"Florida East Coast Industries (SoftBank Corp)","Japan/SoftBank Corp","$79000","$20500","$58500"
"Florida East Coast Railway (Grupo Mexico)","Mexico/Grupo Mexico","$8780","$3640","$5140"
"FMC Technologies","UK/TechnipFMC plc","-$3000","$0","-$3000"
"Framatome (EDF Group)","France/EDF Group","$50500","$20000","$30500"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$323000","$149000","$174000"
"G4S Secure Solutions","UK/G4S plc","$15000","$5000","$10000"
"Garmin International (Garmin Ltd)","Switzerland/Garmin Ltd","$37400","$10500","$26900"
"GE Appliances","China/Haier Group","$24000","$4500","$19500"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$573000","$232000","$341000"
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$0","$0","$0"
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$8500","$5000","$3500"
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$750","$0","$750"
"GlaxoSmithKline","UK/GlaxoSmithKline","$320250","$138500","$181750"
"Glover Park Group (WPP Group)","UK/WPP Group","$143200","$94700","$48000"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$12500","$0","$12500"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$1500","$0","$1500"
"Greyhound Lines","UK/FirstGroup PLC","$17500","$8500","$9000"
"Headwaters Inc","Australia/Boral Ltd","$14507","$1","$14506"
"Heineken USA","Netherlands/L'Arche Green NV","$47750","$21250","$26500"
"Herbalife Nutrition","UK/Herbalife Ltd","$149219","$67519","$81700"
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$55500","$16500","$39000"
"Holcim US (LafargeHolcim)","Switzerland/LaFargeHolcim","$106000","$29000","$77000"
"Horizon Pharma USA","Ireland/Horizon Pharma PLC","$81200","$42700","$38500"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$1000","$0","$1000"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$164000","$76500","$87500"
"IDEMIA Identity & Security (IDEMIA)","France/IDEMIA","$30456","$7500","$22956"
"IGT Global Solutions","Italy/B&D Holding Di Marco Drago e C Sapa","$65500","$29000","$36500"
"Infineon Technologies","Germany/Infineon Technologies AG","$2000","$1000","$1000"
"Ingersoll-Rand","Ireland/Ingersoll Rand Co","$33500","$13100","$20400"
"Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$45500","$17500","$28000"
"Intergraph Corp","Sweden/Hexagon AB","$2500","$0","$2500"
"ITG Brands (Imperial Brands)","UK/Imperial Brands","$165500","$27000","$138500"
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$12000","$5000","$7000"
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$263489","$66500","$196989"
"JBS USA","Brazil/JBS SA","$46000","$2000","$44000"
"John Hancock Life Insurance","Canada/Manulife Financial","$118200","$62000","$55200"
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$240500","$121000","$117500"
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$1000","$0","$1000"
"Kawasaki Heavy Industries","Japan/Kawasaki Heavy Industries","$500","$0","$500"
"Komatsu Mining","Japan/Komatsu Ltd","$17760","$1000","$16760"
"Lanxess Corp (Lanxess AG)","Germany/Lanxess Corp","$250","$0","$250"
"Lehigh Hanson","Germany/HeidelbergCement AG","$159000","$13500","$145500"
"Leonardo DRS","Italy/Leonardo SpA","$198500","$60000","$138500"
"Lincare Holdings (Linde AG)","Germany/Linde AG","$3000","$1000","$2000"
"Linde North America (Linde AG)","Germany/Linde AG","$109000","$43500","$65500"
"Livanova Inc","UK/Livanova Plc","$0","$0","$0"
"Louis Dreyfus Co","Netherlands/Louis Dreyfus Holding B.V.","$13000","$0","$13000"
"LSEG US","UK/London Stock Exchange Group","$16500","$8000","$8500"
"Lundbeck Inc","Denmark/H Lundbeck A/S","$71500","$33500","$38000"
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$116000","$18000","$98000"
"M-E Companies","Canada/IBI Group","$0","$0","$0"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$56000","$25500","$29500"
"Magna US","Canada/Magna International","$0","$0","$0"
"Magnolia LNG","Australia/LNG Limited","$4500","$0","$4500"
"Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$265000","$105000","$160000"
"Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$19500","$6000","$13500"
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$23246","$10246","$13000"
"Maxar Technologies (Maxar Technologies)","Canada/Maxar Technologies","$113500","$34500","$76500"
"Maxar Technologies Holdings (Maxar Technologies)","Canada/Maxar Technologies","$7000","$4000","$3000"
"MBDA Inc","UK/MBDA","$6000","$0","$6000"
"Medimmune Inc (AstraZeneca PLC)","UK/AstraZeneca PLC","$0","$0","$0"
"Medtronic Inc","Ireland/Medtronic Plc","$293000","$133000","$159000"
"MillerCoors LLC (Molson Coors Brewing)","Canada/Molson Coors Brewing","$163000","$62000","$101000"
"Miraca Life Sciences","Japan/Miraca Holdings","$0","$0","$0"
"Mitsubishi Hitachi Power Systems","Japan/Mitsubishi Hitachi Power Systems","$23400","$0","$23400"
"Monsanto Co (Bayer AG)","Germany/Bayer AG","$349500","$114500","$235000"
"MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$2500","$2500","$0"
"Munich American Reassurance","Germany/Munich Re Group","$0","$0","$0"
"Mylan Inc","Netherlands/Mylan NV","$83000","$33500","$49500"
"Nammo Talley Inc","Norway/Nammo AS","$19500","$4500","$15000"
"National Cement Co","France/Vicat Group","$1000","$0","$1000"
"National Grid USA (National Grid plc)","UK/National Grid plc","$61500","$45500","$16000"
"Natixis Investment Managers","France/Groupe BPCE","$18500","$10500","$8000"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$23750","$9750","$14000"
"Nomura Holding America","Japan/Nomura Holdings","$113500","$48000","$65500"
"NOVA Chemicals","United Arab Emirates/International Petroleum Investment Co","$0","$0","$0"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$293000","$166000","$127000"
"Novo Nordisk","Denmark/Novo Nordisk A/S","$405938","$188000","$217938"
"Novocure Inc","UK/Novocure","$52200","$6700","$45500"
"Nutrien Ltd","Canada/Nutrien Ltd","$8000","$0","$8000"
"Orano USA (Orano Group)","France/Orano Group","$11000","$2500","$8500"
"Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$83000","$45000","$38000"
"Patheon Pharmaceuticals","Netherlands/Patheon NV","$10574","$0","$10574"
"Permobil Inc (Investor AB)","Sweden/Investor AB","$8500","$1000","$7500"
"Pernod Ricard USA","France/Pernod Ricard SA","$23700","$3000","$20700"
"Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$1500","$0","$1500"
"Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$81000","$41000","$40000"
"Philips Electronics North America (Philips)","Netherlands/Philips","$66000","$33000","$33000"
"Prime Policy Group (WPP Group)","UK/WPP Group","$40250","$15750","$24000"
"Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$64500","$17700","$46800"
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$8941","$0","$8941"
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$59500","$35000","$24500"
"Recurrent Energy","Canada/Canadian Solar","$2000","$1000","$1000"
"RELX Inc","UK/RELX Group","$207600","$98500","$109100"
"Renewable Energy Systems Americas","UK/Renewable Energy Systems","$15051","$1000","$13551"
"Resolute FP US","Canada/Resolute Forest Products","$80700","$12200","$67500"
"Reynolds American (British American Tobacco)","UK/British American Tobacco plc","$380000","$34000","$346000"
"Rio Tinto America","UK/Rio Tinto Group","$12500","$4500","$8000"
"Roho Group (Investor AB)","Sweden/Investor AB","$500","$500","$0"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$303500","$78500","$225000"
"Safelite Group","Belgium/D'Ieteren SA","$5700","$1000","$4700"
"Samsung Electronics America","South Korea/Samsung Group","$143000","$72500","$70500"
"Sanofi US (Sanofi)","France/Sanofi","$442200","$208700","$233500"
"Santander Bank (Banco Santander)","Spain/Banco Santander","$24500","$9500","$15000"
"SAP America","Germany/SAP SE","$59000","$40000","$19000"
"Schaeffler Group USA","Germany/Schaeffler Group","$2500","$0","$2500"
"Securitas Security Services USA","Sweden/Securitas AB","$0","$0","$0"
"Serco Inc","UK/Serco Group","$107500","$40500","$67000"
"Shell Oil","Netherlands/Royal Dutch Shell","$23000","$3500","$19500"
"Shire Holdings US (Shire PLC)","Ireland/Shire Plc","$84000","$47000","$37000"
"Siemens Corp","Germany/Siemens AG","$189250","$76000","$113250"
"Smith & Nephew","UK/Smith & Nephew Plc","$78000","$33000","$45000"
"Smithfield Foods","China/WH Group","$60000","$20000","$40000"
"Smiths Detection (Smiths Group)","UK/Smiths Group PLC","$0","$0","$0"
"Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$134700","$36500","$98200"
"Sodexo Inc","France/Sodexo","-$1000","$0","-$1000"
"Solvay America","Belgium/Solvay SA","$19200","$8000","$11200"
"Sony Music Entertainment (Sony Corp)","Japan/Sony Corp","$1000","$1000","$0"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$164000","$85000","$79000"
"Sprint Communications (SoftBank Corp)","Japan/Softbank Corp","$184000","$73500","$110500"
"SSAB Americas","Sweden/SSAB AB","$13600","$4500","$9100"
"Standard Insurance Co","Japan/Meiji Yasuda Life Insurance","$10000","$1000","$7500"
"Steris Corp","UK/Steris PLC","$51000","$16500","$34500"
"SUEZ Water","France/SUEZ Environnement","$11000","$10000","$1000"
"Sun Life Financial (Sun Life Financial)","Canada/Sun Life Financial","$23600","$8900","$12000"
"Sunovion Pharmaceuticals (Sumitomo Chemical)","Japan/Sumitomo Chemical","$50500","$26000","$24500"
"Sunpower Corp","France/Total SA","$7000","$2000","$5000"
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$13500","$2500","$11000"
"Swiss Re America","Switzerland/Swiss Reinsurance","$44000","$17000","$27000"
"Syngenta Corp","China/ChemChina","$125200","$47500","$77700"
"T-Mobile USA","Germany/Deutsche Telekom AG","$694500","$314000","$374500"
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$143500","$77500","$66000"
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$26900","$7000","$19900"
"TD Bank USA","Canada/Toronto-Dominion Bank","$197500","$91500","$101000"
"TE Connectivity","Switzerland/TE Connectivity","$94000","$34000","$60000"
"TECO Energy","Canada/Emera Inc","$37500","$11500","$26000"
"Terumo BCT","Japan/Terumo Corp","$0","$0","$0"
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$45500","$17000","$28500"
"Toyota Motor North America","Japan/Toyota Motor Corp","$874999","$378000","$496999"
"TransAmerica","Netherlands/Aegon NV","$458500","$226500","$230000"
"Transcanada USA Services (Transcanada Corp)","Canada/TransCanada Corp","$149500","$51500","$94500"
"Travelport Inc","UK/Travelport Ltd","$1000","$0","$1000"
"UBS Americas","Switzerland/UBS AG","$1389750","$645750","$734000"
"UCB Inc (UCB SA)","Belgium/UCB SA","$41000","$6000","$35000"
"Ultra Electronics USA","UK/Ultra Electronics","$59000","$15000","$44000"
"Universal Music Group (Vivendi)","France/Vivendi","$114494","$64494","$50000"
"Valent USA (Sumitomo Chemical)","Japan/Sumitomo Chemical","$16000","$5500","$10500"
"VNA Holding (AB Volvo)","Sweden/AB Volvo","$16000","$8000","$8000"
"VT Halter Marine","Singapore/ST Engineering","$12500","$0","$12500"
"Washington Gas Light Co (AltaGas Ltd)","Canada/AltaGas Ltd","$21000","$13000","$8000"
"Westfield Corp (Unibail-Rodamco-Westfield)","Australia/Westfield Group of Australia","$4000","$1500","$2500"
"Westinghouse Electric","Canada/Brookfield Business Partners","$68500","$25000","$43500"
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$43000","$15500","$27500"
"WSP USA","Canada/WSP Global","$151724","$86650","$65074"
"XL America","France/AXA","$0","$0","$0"
"ZF TRW Automotive (ZF Friedrichshafen AG)","Germany/ZF Friedrichshafen AG","$30000","$14000","$16000"
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$173000","$92500","$80500"
