"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"Cooper Industries","Ireland/Cooper Industries Ltd","$63000","$26000","$37000"
"Covidien US","UK/Covidien Ltd","$182500","$104000","$78500"
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$487000","$246500","$240500"
"CSL Behring","Australia/CSL Ltd","$34250","$17250","$17000"
"Daiichi Sankyo Inc","Japan/Daiichi Sanyko","$191500","$65500","$124000"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$85400","$48400","$37000"
"DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$3000","$3000","$0"
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$131752","$87919","$43833"
"Diageo North America/CT (Diageo PLC)","UK/Diageo PLC","$0","$0","$0"
"DRS Technologies","Italy/Finmeccanica SpA","$416300","$186000","$229300"
"EADS North America","Netherlands/European Aeronautic Defence & Space Co","$207200","$104500","$102700"
"Eisai Inc","Japan/Eisai Co Ltd","$68000","$48500","$19500"
"Elbit Systems of America","Israel/Elbit Systems Ltd","$22500","$11500","$11000"
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$7000","$2500","$3500"
"EmCare Inc (Onex Corp)","Canada/Onex Corp","$0","$0","$0"
"EMD Serono Inc","Germany/Merck KGaA","$123000","$83000","$40000"
"EnCana Oil & Gas USA","Canada/EnCana Corp","$0","$0","$0"
"Essroc Corp","Italy/Italcementi Group","$8500","$2500","$6000"
"Experian","UK/Experian","$477727","$145000","$332727"
"Farmers Group (Zurich Financial Services)","Switzerland/Zurich Financial Services","$176944","$34650","$141794"
"First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$11300","$9800","$1500"
"FirstGroup America (FirstGroup PLC)","UK/FirstGroup PLC","$0","$0","$0"
"Food Lion","Belgium/Delhaize Group","$14000","$4500","$9500"
"Foster Wheeler","Switzerland/Foster Wheeler PLC","$0","$0","$0"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$125102","$97500","$27602"
"G4S Secure Solutions","UK/G4S plc","$61500","$24000","$32500"
"GDF Suez Energy North America","France/GDF SUEZ","$72750","$41000","$26750"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$290500","$128500","$160000"
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$0","$0","$0"
"GKN Corp","UK/GKN PLC","$1000","$1000","$0"
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$2900","$500","$2400"
"GlaxoSmithKline","UK/GlaxoSmithKline","$619500","$316000","$297500"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$44250","$26000","$18250"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$12000","$6000","$6000"
"Greyhound Lines (FirstGroup PLC)","UK/FirstGroup PLC","$16000","$10500","$5500"
"Gtech Corp","Italy/B&D Holding Di Marco Drago e C Sapa","$3500","$3500","$0"
"Halcrow Inc","UK/Halcrow Holdings","$1000","$1000","$0"
"Heineken USA","Netherlands/L'Arche Green NV","$53500","$34000","$19500"
"Henkel Corp (Henkel KGaA)","Germany/Henkel KGaA","$11000","$7000","$4000"
"Herbalife International","UK/Herbalife Ltd","$63080","$35000","$28080"
"Hill & Knowlton (WPP Group)","UK/WPP Group","$1250","$1000","$250"
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$172000","$98500","$71000"
"Holcim US","Switzerland/Holcim Ltd","$33500","$25000","$8500"
"Horizon Wind Energy","Portugal/EDP Renovaveis","$2250","$1250","$1000"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$339000","$156500","$182500"
"HSBC North America/Florida (HSBC Holdings)","UK/HSBC Holdings","$0","$0","$0"
"Iberdrola Renewables (Iberdrola SA)","Spain/Iberdrola SA","$30000","$26500","$2500"
"Iberdrola USA (Iberdrola SA)","Spain/Iberdrola SA","$11250","$11250","$0"
"Infineon Technologies","Germany/Infineon Technologies AG","$1000","$1000","$0"
"ING US (ING Group)","Netherlands/ING Group","$110500","$68000","$42500"
"Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$66900","$48900","$18000"
"Intergraph Corp","Sweden/Hexagon AB","$19000","$7000","$12000"
"International Power America","UK/International Power","$19000","$11500","$4000"
"International Securities Exchange","Germany/Deutsche Boerse","$49500","$31500","$18000"
"Jackson National Life Insurance","UK/Prudential PLC","$122774","$40000","$82774"
"JBS USA","Brazil/JBS SA","$162050","$58000","$104050"
"John Hancock Life Insurance","Canada/Manulife Financial","$143900","$96500","$47400"
"Kurtzman Carson Consultants","Australia/Computershare Limited","$0","$0","$0"
"LaFarge North America","France/Lafarge SA","$91000","$37500","$53500"
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$5580","$1000","$4580"
"Linde North America","Germany/Linde AG","$10000","$8000","$2000"
"Louis Dreyfus Group (Louis Dreyfus SAS)","Netherlands/Louis Dreyfus SAS","$37500","$12000","$25500"
"Lundbeck Inc","Denmark/H Lundbeck A/S","$0","$0","$0"
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$65750","$27000","$34250"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$136750","$81000","$54750"
"Magna Holdings of America","Canada/Magna International","$2250","$2250","$0"
"Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$12700","$7200","$5500"
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$40000","$23000","$17000"
"MBDA Inc","UK/MBDA","$0","$0","$0"
"McDermott International (McDermott International)","Panama/McDermott International","$35500","$3500","$31000"
"Medimmune Inc (AstraZeneca PLC)","UK/AstraZeneca PLC","$104500","$60500","$41000"
"Metallurg Vanadium Corp","Netherlands/AMG Advanced Metallurgical Group","$0","$0","$0"
"Metro-Goldwyn-Mayer (Sony Corp)","Japan/Sony Corp","-$2500","$0","-$2500"
"Millennium Pharmaceuticals (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$28000","$22000","$6000"
"Miller Brewing (SABMiller)","UK/SABMiller PLC","$0","$0","$0"
"MillerCoors LLC (SABMiller)","UK/SABMiller PLC","$205500","$97500","$107000"
"National Grid USA (National Grid plc)","UK/National Grid plc","$141350","$121100","$18250"
"National Grid USA (National Grid plc)","UK/National Grid plc","$500","$500","$0"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$25500","$4500","$21000"
"Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$19500","$10500","$8000"
"Nomura Holding America","Japan/Nomura Holdings","$0","$0","$0"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$339750","$163250","$174000"
"Novo Nordisk","Denmark/Novo Nordisk A/S","$170818","$102318","$67500"
"Oldcastle Materials","Ireland/CRH PLC","$301000","$165500","$134500"
"Parsons Brinckerhoff","UK/Balfour Beatty","$162618","$127718","$34900"
"PBSJ Corp","UK/WS Atkins PLC","$11750","$9100","$250"
"Pernod Ricard USA","France/Pernod Ricard SA","$21500","$12000","$9500"
"Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$3350","$1500","$250"
"Pharmavite LLC","Japan/Otsuka Pharmaceutical","$47000","$23000","$22000"
"Philips Electronics North America (Philips Electronics)","Netherlands/Philips Electronics","$118200","$38250","$76200"
"Philips Medical Systems (Philips Electronics)","Netherlands/Philips Electronics","$0","$0","$0"
"PotashCorp","Canada/Potash Corporation of Saskatchewan","$54000","$15500","$38500"
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$17266","$11766","$5500"
"QBE Regional Insurance","Australia/QBE Insurance Group","$0","$0","$0"
"QinetiQ North America (Qinetiq Group)","UK/QinetiQ Group","$22000","$10500","$11500"
"RBC Centura Banks (Royal Bank of Canada)","Canada/Royal Bank of Canada","$1250","$1000","$250"
"Reebok International","Germany/adidas AG","$4500","$4500","$0"
"Reed Elsevier Inc","UK/Reed Elsevier Group","$97300","$60500","$36800"
"Renewable Energy Systems Americas","UK/Renewable Energy Systems","$27750","$22500","$3250"
"Renre North America Inc","UK/RenaissanceRe Holdings","$0","$0","$0"
"Research In Motion","Canada/Research in Motion","$16000","$8000","$8000"
"Rio Tinto America","UK/Rio Tinto Group","$71000","$36500","$30500"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$353800","$176800","$172000"
"Sanofi-Aventis US (Sanofi-Aventis)","France/Sanofi-Aventis","$87000","$43500","$43500"
"Sanofi-Pasteur Inc (Sanofi-Aventis)","France/Sanofi-Aventis","$44500","$19750","$24750"
"Santander Bank (Banco Santander)","Spain/Banco Santander","$9500","$9500","$0"
"SAP America","Germany/SAP AG","$46500","$31000","$15500"
"Schaeffler Group USA","Germany/Schaeffler Group","$3000","$2000","$1000"
"Securitas Security Services USA","Sweden/Securitas AB","$10500","$0","$10500"
"Serco Inc","UK/Serco Group","$86900","$41000","$45900"
"SES Americom (SES SA)","Luxembourg/SES SA","$3000","$3000","$0"
"Severstal Warren","Russia/OAO Severstal","$0","$0","$0"
"Shell Oil","Netherlands/Royal Dutch Shell","$0","$0","$0"
"Shire Pharmaceuticals","UK/Shire Plc","$1500","$1000","$500"
"Siemens Corp","Germany/Siemens AG","$302000","$171000","$128000"
"Skilled Healthcare Group (Onex Corp)","Canada/Onex Corp","$13500","$13500","$0"
"Smith & Nephew","UK/Smith & Nephew Plc","$0","$0","$0"
"Smiths Detection","UK/Smiths Group PLC","$10800","$7800","$1000"
"Sodexo Inc","France/Sodexo","$49500","$41000","$8500"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$191900","$111400","$79500"
"Space Systems/Loral","UK/Loral Space & Communications","$6900","$6900","$0"
"Spirit Aerosystems (Onex Corp)","Canada/Onex Corp","$28400","$5000","$23400"
"Sun Life Assurance of Canada (Sun Life Financial)","Canada/Sun Life Financial","$19900","$13900","$6000"
"Sunovion Pharmaceuticals","Japan/Sumitomo Chemical","$32500","$29500","$3000"
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$71500","$32500","$39000"
"Swiss Re America","Switzerland/Swiss Reinsurance","$20200","$12400","$7800"
"Syngenta Corp","Switzerland/Syngenta AG","$249000","$145500","$103500"
"T-Mobile USA","Germany/Deutsche Telekom AG","$398150","$220400","$177750"
"Takeda Pharmaceuticals North America (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$17000","$7000","$10000"
"Talecris Biotherapeutics","Spain/Grifols SA","$50000","$25000","$25000"
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$28950","$11500","$17450"
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$96700","$56200","$40500"
"Timex Group USA","Netherlands/Timex Group","$0","$0","$0"
"Tyco International","Ireland/Tyco International","$263000","$134000","$129000"
"UBS Americas","Switzerland/UBS AG","$469500","$258500","$206000"
"Ultra Electronics Prologic","UK/Ultra Electronics","$33450","$20000","$12950"
"UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$0","$0","$0"
"United Water","France/SUEZ Environnement","$15100","$10100","$5000"
"Universal Music Group (Vivendi Universal)","France/Vivendi Universal","$145300","$82800","$61500"
"VT Halter Marine","Singapore/ST Engineering","$4000","$2500","$1000"
"Weatherford US","UK/Weatherford International","$11100","$2900","$8200"
"Westfield Corp","Australia/Westfield Group of Australia","$15126","$15126","$0"
"Westinghouse Electric","Japan/Toshiba Corp","$35000","$18500","$16500"
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$100000","$62500","$36500"
"Willis North America","UK/Willis Group","$7500","$4500","$3000"
"XL America","Ireland/XL Group PLC","$1500","$1500","$0"
"Zurich Insurance (Zurich Financial Services)","Switzerland/Zurich Financial Services","$168000","$78000","$90000"
