"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"Beam Suntory (Suntory Holdings)","Japan/Suntory Holdings","$35632","$11000","$24632"
"BMO Financial Corp (Bank of Montreal)","Canada/Bank of Montreal","$0","$0","$0"
"BMO Harris Bank (Bank of Montreal)","Canada/Bank of Montreal","$56200","$29200","$27000"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$213000","$116000","$97000"
"Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$43500","$11000","$32500"
"BP","UK/BP PLC","$414500","$152500","$262000"
"Bridgestone Americas","Japan/Bridgestone Corp","$34500","$10000","$24500"
"Bumble Bee Foods","UK/Lion Capital","$17000","$6000","$11000"
"Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$2000","$0","$2000"
"CalPortland Co","Japan/Taiheiyo Cement Co","$76500","$9000","$67500"
"Carmeuse Lime","Netherlands/Carmeuse SA","$3000","$0","$3000"
"Case New Holland","Netherlands/CNH Industrial","$102000","$7500","$94500"
"CEMEX Inc","Mexico/CEMEX SAB de CV","$326500","$62500","$264000"
"CGI Technologies & Solutions","Canada/CGI Group","$69000","$23000","$46000"
"Chicago Bridge & Iron","Netherlands/Chicago Bridge & Iron NV","$153500","$38000","$115500"
"Chubb Group of Insurance Companies (Chubb INA)","Switzerland/Chubb Ltd","$183000","$71500","$111500"
"Chubb INA (Chubb INA)","Switzerland/Chubb Ltd","$164600","$53000","$111600"
"Cobham Management Services","UK/Cobham PLC","$197750","$60750","$137000"
"Columbia Pipeline Group (TransCanada Corp)","Canada/TransCanada Corp","$186000","$37000","$149000"
"Commonwealth-Altadis (Imperial Brands)","UK/Imperial Tobacco Group","$33000","$2500","$30500"
"Continental Automotive Systems (Continental AG)","Germany/Continental AG","$109000","$41500","$67500"
"Covestro LLC (Bayer AG)","Germany/Bayer AG","$2000","$0","$2000"
"Covidien US (Medtronic Inc)","Ireland/Medtronic Plc","$1000","$0","$1000"
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$382950","$165200","$217750"
"CSL Behring","Australia/CSL Ltd","$73450","$18250","$55200"
"Cytec Engineered Materials (Solvay SA)","Belgium/Solvay SA","$4700","$0","$4700"
"Daiichi Sankyo Inc","Japan/Daiichi Sanyko","$121000","$33500","$87500"
"Daimler Trucks North America (Daimler AG)","Germany/Daimler AG","$0","$0","$0"
"Delhaize America","Belgium/Ahold Delhaize","$14500","$5000","$9500"
"Delphi Automotive","UK/Delphi Automotive","$10500","$2000","$8500"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$46700","$5200","$41500"
"DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$3000","$0","$3000"
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$97527","$40174","$57353"
"Direct Energy Inc","UK/Centrica Plc","$3000","$1000","$2000"
"Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$69950","$10500","$59450"
"EDF Renewable Energy","France/EDF Group","$26750","$15750","$11000"
"EDP Renewables NA","Portugal/EDP - Energias de Portugal","$10500","$5000","$4500"
"Eisai Inc","Japan/Eisai Co Ltd","$56000","$29500","$26500"
"Elbit Systems of America","Israel/Elbit Systems Ltd","$59250","$7000","$52250"
"Elekta Inc (Elekta AB)","Sweden/Elekta AB","$49500","$11500","$38000"
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$32700","$4000","$28700"
"EMD Serono Inc","Germany/Merck KGaA","$94000","$49000","$45000"
"Empower Retirement (Power Financial Corp)","Canada/Power Financial Corp","$20200","$4000","$16200"
"EnCana Oil & Gas USA","Canada/EnCana Corp","$4000","$1500","$2500"
"Endo Pharmaceuticals","Ireland/Endo International","$106500","$24000","$82500"
"ENGIE North America","France/ENGIE","$89000","$27500","$59000"
"Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$12500","$3000","$9500"
"Essent US Holdings","UK/Essent Group","$0","$0","$0"
"Essroc Corp","Italy/Italcementi Group","$500","$500","$0"
"Experian","UK/Experian","$573500","$187000","$386500"
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$402722","$106122","$296600"
"First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$13600","$13600","$0"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$178500","$83000","$95500"
"G4S Secure Solutions","UK/G4S plc","$17700","$7700","$10000"
"Gavilon (Marubeni Corp)","Japan/Marubeni Corp","$28000","$3500","$24500"
"GE Appliances","China/Haier Group","$0","$0","$0"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$383500","$171000","$212500"
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$16000","$1000","$15000"
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$31500","$16500","$15000"
"GKN Corp","UK/GKN PLC","$9500","$5500","$4000"
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$850","$0","$850"
"GlaxoSmithKline","UK/GlaxoSmithKline","$431000","$181000","$250000"
"Glover Park Group (WPP Group)","UK/WPP Group","$128750","$82000","$46750"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$44000","$13250","$30750"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$8000","$6000","$2000"
"Greyhound Lines","UK/FirstGroup PLC","$14000","$2500","$11500"
"Heineken USA","Netherlands/L'Arche Green NV","$50000","$27500","$22500"
"Herbalife International","UK/Herbalife Ltd","$60100","$30500","$29600"
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$12500","$4000","$8500"
"Holcim US (LafargeHolcim)","Switzerland/LaFargeHolcim","$74750","$19500","$55250"
"Horizon Pharma USA","Ireland/Horizon Pharma PLC","$17200","$6400","$10800"
"HSBC North America","UK/HSBC Holdings","$254500","$98000","$156500"
"ICAP North America","UK/TP ICAP plc plc","$22500","$5000","$17500"
"Infineon Technologies","Germany/Infineon Technologies AG","$1500","$500","$1000"
"Ingersoll-Rand","Ireland/Ingersoll Rand Co","$34500","$6000","$28500"
"Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$73000","$25500","$47500"
"Intergraph Corp","Sweden/Hexagon AB","$0","$0","$0"
"International Game Technology (B&D Holding Di Marco Drago e C Sapa)","Italy/B&D Holding Di Marco Drago e C Sapa","$15000","$8000","$7000"
"International Game Technology (B&D Holding Di Marco Drago e C Sapa)","Italy/B&D Holding Di Marco Drago e C Sapa","$78450","$30500","$47950"
"ITG Brands (Imperial Brands)","UK/Imperial Brands","$107500","$16000","$91500"
"Jackson National Life Insurance","UK/Prudential PLC","$196500","$42500","$154000"
"JBS USA","Brazil/JBS SA","$68500","$7000","$61500"
"Jeld-Wen Inc (Onex Corp)","Canada/Onex Corp","$2600","$0","$2600"
"John Hancock Life Insurance","Canada/Manulife Financial","$97000","$52000","$45000"
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$343500","$100750","$242750"
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$21500","$10500","$11000"
"Kawasaki Heavy Industries","Japan/Kawasaki Heavy Industries","$0","$0","$0"
"Keystone Foods","Brazil/Marfrig Global Foods","$0","$0","$0"
"LafargeHolcim (LafargeHolcim)","France/Lafarge SA","$11000","$2500","$8500"
"Lehigh Hanson","Germany/HeidelbergCement AG","$125500","$12000","$113500"
"Leonardo DRS","Italy/Leonardo-Finmeccanica","$233000","$70500","$162500"
"Linde North America","Germany/Linde AG","$54000","$19500","$34500"
"Livanova Inc","UK/Livanova plc","$11000","$2000","$9000"
"Louis Dreyfus Co","Netherlands/Louis Dreyfus Holding B.V.","$37400","$6000","$31400"
"Lundbeck Inc","Denmark/H Lundbeck A/S","$51000","$17500","$33500"
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$117500","$29500","$88000"
"M-E Companies","Canada/IBI Group","$0","$0","$0"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$61500","$20000","$41500"
"Magna US","Canada/Magna International","$2000","$2000","$0"
"Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$101500","$24000","$77500"
"Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$24500","$5500","$19000"
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$22500","$8000","$14500"
"MBDA Inc","UK/MBDA","$9500","$0","$9500"
"Medimmune Inc (AstraZeneca PLC)","UK/AstraZeneca PLC","$0","$0","$0"
"Medtronic Inc (Medtronic Inc)","Ireland/Medtronic Plc","$366500","$161500","$205000"
"MillerCoors LLC (Molson Coors Brewing)","Canada/Molson Coors Brewing","$166500","$59500","$107000"
"Miraca Life Sciences","Japan/Miraca Holdings","$13500","$5000","$8500"
"Mitsubishi Hitachi Power Systems","Japan/Mitsubishi Hitachi Power Systems","$14900","$0","$14900"
"Morpho Detection (Safran SA)","France/Safran SA","$14500","$5500","$9000"
"MorphoTrust USA (Safran SA)","France/Safran SA","$30689","$6689","$24000"
"MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$9500","$6000","$3500"
"Munich American Reassurance","Germany/Munich Re Group","$0","$0","$0"
"Mylan Inc","Netherlands/Mylan NV","$68000","$23000","$45000"
"Nammo Talley Inc","Norway/Nammo AS","$9250","$4250","$5000"
"National Cement Co","France/Vicat Group","$5400","$0","$5400"
"National Grid USA (National Grid plc)","UK/National Grid plc","$75500","$50500","$25000"
"Natixis Global Asset Management","France/Groupe BPCE","$14500","$4500","$10000"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$26000","$5000","$21000"
"Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$22746","$10246","$11500"
"Nokia Solutions & Networks (Nokia Inc)","Finland/Nokia","$34200","$9500","$24700"
"Nomura Holding America","Japan/Nomura Holdings","$108500","$43500","$65000"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$272750","$137500","$135250"
"Novo Nordisk","Denmark/Novo Nordisk A/S","$458351","$194852","$262499"
"Novocure Inc","UK/Novocure","$29600","$0","$29600"
"Oldcastle Materials","Ireland/CRH PLC","$352230","$130280","$221950"
"Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$33000","$18000","$15000"
"Patheon Pharmaceuticals","Netherlands/Patheon NV","$2500","$0","$2500"
"Permobil Inc (Investor AB)","Sweden/Investor AB","$13250","$2500","$10750"
"Pernod Ricard USA","France/Pernod Ricard SA","$4500","$2500","$2000"
"Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$1250","$750","$500"
"Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$72093","$35000","$37093"
"Philips Electronics North America (Philips)","Netherlands/Philips","$64500","$18500","$46000"
"PotashCorp","Canada/Potash Corporation of Saskatchewan","$17500","$1500","$16000"
"Prime Policy Group (WPP Group)","UK/WPP Group","$52000","$17000","$35000"
"Private Bank Inc","Canada/Canadian Imperial Bank of Commerce","$2000","$0","$2000"
"Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$47900","$6000","$41900"
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$23030","$7000","$16030"
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$51800","$27100","$24700"
"RELX Inc","UK/RELX Group","$213117","$96657","$116460"
"Renewable Energy Systems Americas","UK/Renewable Energy Systems","$14400","$10400","$4000"
"Res-Care Inc (Onex Corp)","Canada/Onex Corp","$14950","$3000","$11950"
"Resolute FP US","Canada/Resolute Forest Products","$69000","$16000","$53000"
"Rio Tinto America","UK/Rio Tinto Group","$18000","$3500","$14500"
"Roho Group (Investor AB)","Sweden/Investor AB","$8250","$5250","$3000"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$245825","$65000","$180825"
"Royal Ten Cate USA","Netherlands/Koninklijke Ten Cate","$39381","$7881","$31500"
"Safelite Group","Belgium/D'Ieteren SA","$4000","$0","$4000"
"Samsung Electronics America","South Korea/Samsung Group","$0","$0","$0"
"Sanofi Genzyme (Sanofi)","France/Sanofi","$44500","$37500","$7000"
"Sanofi US (Sanofi)","France/Sanofi","$566475","$174000","$392475"
"Sanofi-Pasteur Inc (Sanofi)","France/Sanofi","$87500","$23000","$64500"
"Santander Bank (Banco Santander)","Spain/Banco Santander","$0","$0","$0"
"SAP America","Germany/SAP SE","$125700","$77500","$48200"
"Securitas Security Services USA","Sweden/Securitas AB","$23500","$0","$23500"
"Serco Inc","UK/Serco Group","$60000","$25000","$35000"
"Shell Oil","Netherlands/Royal Dutch Shell","$88500","$15000","$73500"
"Shire Regenerative Medicine (Shire Plc)","UK/Shire Plc","$0","$0","$0"
"Siemens Corp","Germany/Siemens AG","$250430","$69180","$181250"
"Smith & Nephew","UK/Smith & Nephew Plc","$64000","$21000","$43000"
"Smithfield Foods","China/WH Group","$93650","$35650","$58000"
"Smiths Group Services Corp","UK/Smiths Group PLC","$145200","$51000","$94200"
"Sodexo Inc","France/Sodexo","$4500","$1500","$3000"
"Solvay America (Solvay SA)","Belgium/Solvay SA","$58400","$29000","$29400"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$198000","$105000","$93000"
"Space Systems/Loral","Canada/MacDonald Dettwiler & Assoc","$3500","$0","$3500"
"Sprint Communications (SoftBank Corp)","Japan/Softbank Corp","$250000","$107000","$142000"
"SSAB Americas","Sweden/SSAB AB","$25500","$7000","$18500"
"Standard Insurance Co","Japan/Meiji Yasuda Life Insurance","$9000","$4000","$5000"
"Steris Corp","UK/Steris PLC","$59150","$17250","$41900"
"SUEZ Water","France/SUEZ Environnement","$28600","$11000","$17600"
"Sunovion Pharmaceuticals","Japan/Sumitomo Chemical","$64000","$27500","$36500"
"Sunpower Corp","France/Total SA","$19400","$13700","$5700"
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$39000","$5500","$33500"
"Swiss Re America","Switzerland/Swiss Reinsurance","$71500","$32000","$39500"
"Syngenta Corp","Switzerland/Syngenta AG","$287200","$87000","$200200"
"T-Mobile USA","Germany/Deutsche Telekom AG","$432250","$206250","$223000"
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$86500","$57500","$29000"
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$23000","$4500","$18500"
"TD Bank USA","Canada/Toronto-Dominion Bank","$109250","$47500","$61750"
"TE Connectivity","Switzerland/TE Connectivity","$120700","$37000","$83700"
"TECO Energy","Canada/Emera Inc","$45500","$4500","$41000"
"Terumo BCT","Japan/Terumo Corp","$0","$0","$0"
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$179500","$82500","$97000"
"Toyota Motor North America","Japan/Toyota Motor Corp","$598500","$277000","$321500"
"TracFone Wireless","Mexico/America Movil","$17000","$8000","$9000"
"TransAmerica","Netherlands/Aegon NV","$360500","$154000","$206500"
"Transcanada USA Services (Transcanada Corp)","Canada/TransCanada Corp","$7000","$2000","$5000"
"Travelport Inc","UK/Travelport Ltd","$1000","$0","$1000"
"Tronox Limited Alkali","Australia/Tronox Inc","$16000","$10000","$6000"
"UBS Americas","Switzerland/UBS AG","$1445490","$676240","$769250"
"UCB Inc (UCB SA)","Belgium/UCB SA","$9000","$3000","$6000"
"Ultra Electronics USA","UK/Ultra Electronics","$24500","$0","$24500"
"United Illuminating (Iberdrola SA)","Spain/Iberdrola SA","$4000","$500","$3500"
"Universal Music Group (Vivendi)","France/Vivendi","$98500","$45500","$53000"
"VT Halter Marine","Singapore/ST Engineering","$4500","$0","$4500"
"Weatherford US","UK/Weatherford International","$0","$0","$0"
"Westfield Corp","Australia/Westfield Group of Australia","$15035","$10035","$5000"
"Westinghouse Electric","Japan/Toshiba Corp","$117700","$26000","$91700"
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$42750","$11000","$31750"
"Willis North America","UK/Willis Group","$6500","$0","$6500"
"WSP Parsons Brinckerhoff","Canada/WSP Global","$141950","$78950","$63000"
"XL America","Ireland/XL Group PLC","$0","$0","$0"
"ZF TRW Automotive (ZF Friedrichshafen AG)","Germany/ZF Friedrichshafen AG","$53000","$17000","$36000"
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$138500","$54500","$84000"
