"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"GE Appliances","China/Haier Group","$23000","$5000","$18000"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$243000","$126000","$117000"
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$500","$0","$500"
"GenesisCare USA","Australia/GenesisCare","$17000","$9500","$7500"
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$14000","$6000","$8000"
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$0","$0","$0"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$20000","$7000","$13000"
"Greyhound Lines","UK/FirstGroup PLC","$10500","$6000","$4500"
"GSK plc","UK/GlaxoSmithKline","$202500","$54000","$148500"
"Haleon plc","UK/Haleon plc","$2500","$0","$2500"
"Hannover Life Reassurance Co","Germany/Hannover Re","$17500","$10000","$7500"
"Hatch LTK (Hatch Ltd)","Canada/Hatch Ltd","$5800","$5800","$0"
"Headwaters Inc","Australia/Boral Ltd","$10500","$1000","$9500"
"Heineken USA","Netherlands/L'Arche Green NV","$26000","$14000","$12000"
"Herbalife Nutrition","UK/Herbalife Ltd","$85500","$35500","$50000"
"Holcim US (Holcim Group)","Switzerland/LaFargeHolcim","$37000","$22000","$15000"
"Horizon Therapeutics","Ireland/Horizon Pharma PLC","$154000","$89000","$65000"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$25000","$10000","$15000"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$68500","$36500","$32000"
"IBI Group Engineering Services","Canada/IBI Group","$150","$0","$150"
"IDEMIA Identity & Security (IDEMIA)","France/IDEMIA","$29900","$6000","$23900"
"IGT Global Solutions","Italy/B&D Holding Di Marco Drago e C Sapa","$42900","$32900","$10000"
"Infineon Technologies","Germany/Infineon Technologies AG","$20000","$12500","$7500"
"Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$49000","$25500","$23500"
"Intergraph Corp","Sweden/Hexagon AB","$2900","$0","$2900"
"Ipsen Biopharmaceuticals","France/Ipsen SA","$40000","$22500","$17500"
"ITG Brands (Imperial Brands)","UK/Imperial Brands","$14000","$5500","$8500"
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$157198","$48998","$108200"
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$91500","$50000","$41500"
"JBS USA","Brazil/JBS SA","$18500","$7000","$11500"
"John Hancock Life Insurance","Canada/Manulife Financial","$94500","$58500","$36000"
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$209000","$115000","$94000"
"Komatsu Mining","Japan/Komatsu Ltd","$20599","$9500","$11099"
"Lanxess Corp (Lanxess AG)","Germany/Lanxess AG","$0","$0","$0"
"Lehigh Hanson","Germany/HeidelbergCement AG","$102000","$22500","$79500"
"Leonardo DRS","Italy/Leonardo SpA","$204000","$76500","$127500"
"Liberty Utilities (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","$0","$0","$0"
"Lincare Holdings (Linde plc)","UK/Linde plc","$23500","$6000","$17500"
"Linde plc (Linde plc)","UK/Linde Plc","$11000","$11000","$0"
"Livanova USA","UK/Livanova Plc","$4000","$2000","$2000"
"Louis Dreyfus Co","Netherlands/Louis Dreyfus Group","$2000","$0","$2000"
"LSEG US","UK/London Stock Exchange Group","$2000","$2000","$0"
"Lundbeck Inc","Denmark/H Lundbeck A/S","$127400","$72400","$55000"
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$95000","$41500","$53500"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$58500","$27500","$31000"
"Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$500","$4500","-$4000"
"Maxar Technologies (Maxar Technologies)","Canada/Maxar Technologies","$173500","$93000","$78000"
"MBDA Inc","UK/MBDA","$1000","$0","$1000"
"Medtronic Inc","Ireland/Medtronic Plc","$225000","$119000","$106000"
"Mercedes-Benz USA (Daimler AG)","Germany/Daimler AG","$3500","$0","$3500"
"Messer North America","Germany/Messer Group","$28500","$12000","$16500"
"Mitsubishi Power","Japan/Mitsubishi Power","$1000","$0","$1000"
"Molson Coors Beverage Co (Molson Coors Brewing)","Canada/Molson Coors Brewing","$77500","$23000","$54500"
"MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$0","$0","$0"
"Munich American Reassurance","Germany/Munich Re Group","$7500","$5000","$2500"
"Nammo Inc (Nammo AS)","Norway/Nammo AS","$9000","$2000","$7000"
"National Grid USA (National Grid plc)","UK/National Grid plc","$58500","$49500","$9000"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$0","$0","$0"
"Nomura Holding America","Japan/Nomura Holdings","$49500","$19500","$30000"
"NOVA Chemicals","United Arab Emirates/International Petroleum Investment Co","$0","$0","$0"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$279500","$158500","$121000"
"Novo Nordisk","Denmark/Novo Nordisk A/S","$287250","$147250","$140000"
"Novocure Inc","UK/Novocure","$94500","$46000","$48500"
"Nutrien Ag Solutions","Canada/Nutrien Ltd","$45500","$15000","$30500"
"Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$125500","$71500","$54000"
"Permobil Inc (Investor AB)","Sweden/Investor AB","$1000","$1000","$0"
"Pernod Ricard USA","France/Pernod Ricard SA","$24500","$11000","$13500"
"Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$81000","$43000","$38000"
"Philips Electronics North America (Philips)","Netherlands/Philips","$119750","$54250","$65500"
"Prime Policy Group (WPP Group)","UK/WPP Group","$38750","$20500","$18250"
"Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$171000","$46500","$124500"
"Purpose Financial (Grupo Salinas)","Mexico/Grupo Salinas","$46500","$18500","$28000"
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$11500","$5500","$6000"
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$91500","$45000","$46500"
"Recurrent Energy","Canada/Canadian Solar","$13900","$9900","$4000"
"RELX Inc","UK/RELX Group","$86000","$57500","$28500"
"Resolute FP US","Canada/Resolute Forest Products","$74000","$5500","$68500"
"Reynolds American (British American Tobacco)","UK/British American Tobacco plc","$242600","$64600","$178000"
"Rio Tinto America","UK/Rio Tinto Group","$38500","$19500","$19000"
"Roche Diagnostics (Roche Holdings)","Switzerland/Roche Holdings","$101000","$50000","$51000"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$234000","$87000","$147000"
"Saab North America","Sweden/Saab AB","$4500","$2500","$2000"
"Sabic Innovative Plastics","Saudi Arabia/SABIC","$7000","$6000","$1000"
"Safelite Group","Belgium/D'Ieteren SA","$3500","$3500","$0"
"Samsung Electronics America","South Korea/Samsung Group","$371500","$201500","$170000"
"Sanofi US (Sanofi)","France/Sanofi","$225500","$115000","$110500"
"Santander Bank (Banco Santander)","Spain/Banco Santander","$87500","$57000","$30500"
"SAP America","Germany/SAP SE","$83500","$43500","$40000"
"Schwan's Co","South Korea/CJ CheilJedang","$161000","$49000","$112000"
"Securitas Security Services USA","Sweden/Securitas AB","$0","$0","$0"
"Serco Inc","UK/Serco Group","$117500","$69000","$48500"
"Shell USA","Netherlands/Shell plc","$5000","$0","$5000"
"Siemens Corp (Siemens AG)","Germany/Siemens AG","$188500","$106000","$82500"
"Smith & Nephew","UK/Smith & Nephew Plc","$94000","$55500","$38500"
"Smithfield Foods","China/WH Group","$37500","$19000","$18500"
"Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$33500","$16500","$17000"
"Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$19500","$13500","$6000"
"Sodexo Inc","France/Sodexo","$2900","$2900","$0"
"Solvay America","Belgium/Solvay SA","$65000","$35500","$29500"
"Sony Music Entertainment (Sony Corp)","Japan/Sony Corp","$32500","$19500","$13000"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$40500","$24000","$16500"
"Spark Therapeutics (Roche Holdings)","Switzerland/Roche Holdings","$8500","$6500","$2000"
"SSAB Americas","Sweden/SSAB AB","$31500","$9000","$22500"
"Standard Insurance Co","Japan/Meiji Yasuda Life Insurance","$4500","$2000","$2500"
"Steris Corp","UK/Steris PLC","$65000","$27500","$37500"
"SUEZ Water","France/SUEZ Environnement","$20500","$18500","$2000"
"Sun Life Financial (Sun Life Financial)","Canada/Sun Life Financial","$135500","$76000","$59500"
"Sunovion Pharmaceuticals (Sumitomo Chemical)","Japan/Sumitomo Chemical","$107200","$51900","$55300"
"Sunpower Corp","France/TotalEnergies","$31500","$28000","$3500"
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$5000","$0","$5000"
"Swiss Re America","Switzerland/Swiss Reinsurance","$0","$0","$0"
"Syngenta Corp","China/ChemChina","$208000","$56000","$152000"
"Tabacalera USA (Imperial Brands)","UK/Imperial Brands","$4321","$2300","$2021"
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$210000","$119000","$91000"
"TD Bank USA","Canada/Toronto-Dominion Bank","$253500","$144500","$108000"
"TE Connectivity","Switzerland/TE Connectivity","$84500","$34500","$50000"
"TECO Energy","Canada/Emera Inc","$37000","$4500","$32500"
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$72400","$34500","$37900"
"Toyota Motor North America","Japan/Toyota Motor Corp","$1033477","$529097","$504380"
"Trane Technologies","Ireland/Trane Technologies","$28300","$4300","$24000"
"TransAmerica","Netherlands/Aegon NV","$418500","$211000","$207500"
"Transcanada USA Services (TC Energy)","Canada/TC Energy","$137000","$30500","$106500"
"UBS Americas","Switzerland/UBS AG","$1467500","$772500","$695000"
"UCB Inc (UCB SA)","Belgium/UCB SA","$52500","$31000","$21500"
"Ultra Electronics USA","UK/Ultra Electronics","$80000","$13500","$66500"
"Universal Music Group (Vivendi)","France/Vivendi","$111500","$66500","$45000"
"Valent USA (Sumitomo Chemical)","Japan/Sumitomo Chemical","$8000","$4500","$3500"
"Varian Medical Systems (Siemens AG)","Germany/Siemens AG","$65800","$39300","$26500"
"VNA Holding (AB Volvo)","Sweden/AB Volvo","$67500","$40000","$27500"
"VT Halter Marine","Singapore/ST Engineering","$11000","$0","$11000"
"Washington Gas Light Co (AltaGas Ltd)","Canada/AltaGas Ltd","$20900","$14400","$6500"
"Westinghouse Electric","Canada/Brookfield Business Partners","$41000","$15000","$26000"
"WSP USA","Canada/WSP Global","$64750","$44250","$20500"
"ZF Automotive US (ZF Friedrichshafen AG)","Germany/ZF Friedrichshafen AG","-$2000","$0","-$2000"
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$294000","$143000","$151000"
