"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$175555","$43250","$132305"
"Oldcastle Materials","Ireland/CRH PLC","$109600","$57300","$52300"
"ONDEO Nalco","France/Suez Lyonnaise des Eaux","$13100","$3000","$10100"
"Oppenheimer Capital (Allianz)","Germany/Allianz AG Holding","$0","$0","$0"
"Organon Inc","Netherlands/Akzo Nobel","$0","$0","$0"
"PacifiCorp","UK/Scottish Power","$10000","$2500","$7500"
"Pennsylvania-American Water Co (RWE AG)","Germany/RWE AG","$0","$0","$0"
"Peter Pan Seafoods","Japan/Nichiro Corp","$3850","$350","$3500"
"Philips Electronics North America","Netherlands/Philips Electronics","$69858","$10100","$59758"
"Pilkington North America","UK/Pilkington Group","$2500","$1000","$1500"
"Pinkerton Tobacco","Sweden/Swedish Match AB","$40495","$6500","$33995"
"RBC Centura Banks","Canada/Royal Bank of Canada","$13500","$5750","$7750"
"Reed Elsevier Inc","UK/Reed Elsevier Group","$34500","$14500","$20000"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce International","$125449","$42750","$82699"
"Sagem Morpho Inc","France/Sagem SA","$7500","$7500","$0"
"SAP America","Germany/SAP AG","$20100","$9000","$11100"
"Sensormatic Electronics (Tyco International)","Ireland/Tyco International","$2328","$0","$2328"
"Serono Inc","Switzerland/Serono SA","$7000","$2000","$5000"
"SES Americom (SES SA)","Luxembourg/SES SA","$5500","$3000","$2500"
"Shaklee Corp (Yamanouchi Consumer)","Japan/Yamanouchi Pharmaceutical","$1000","$1000","$0"
"Shell Oil (Royal Dutch/Shell Group of Companies)","Netherlands/Royal Dutch-Shell","$127790","$31290","$96500"
"Siemens Corp (Siemens AG)","Germany/Siemans AG","$116998","$31999","$84999"
"Siemens Dematic Postal Automation (Siemens AG)","Germany/Siemens AG","$2500","$1500","$1000"
"Smith & Nephew","UK/Smith & Nephew Plc","$19000","$9000","$10000"
"Sodexho Inc","France/Sodexho Alliance","$3350","$2250","$1100"
"Solvay Pharmaceuticals","Belgium/Solvay SA","$0","$0","$0"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$128500","$73500","$55000"
"Standard Federal Bank (ABN AMRO)","Netherlands/ABN Amro Holding","$13100","$3250","$9850"
"Syngenta Corp","Switzerland/Syngenta AG","$34500","$14000","$20500"
"Syntex (USA) Inc (Roche Holdings)","Switzerland/Roche Holdings","$10000","$8000","$2000"
"T-Mobile USA","Germany/Deutsche Telekom AG","$87000","$50000","$37000"
"Timex Corp","Netherlands/Timex Group","$0","$0","$0"
"Tractebel (Tractebel)","Belgium/Tractabel","$0","$0","$0"
"Tractebel North America (Tractebel)","Belgium/Tractabel","$1000","$0","$1000"
"TransAmerica (Aegon NV)","Netherlands/Aegon NV","$0","$0","$0"
"UBS Americas","Switzerland/UBS AG","$111400","$58400","$52000"
"UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$13500","$3500","$10000"
"United Water Resources (SUEZ SA)","France/SUEZ SA","$18150","$14650","$3500"
"Universal Studios (Vivendi Universal)","France/Vivendi Universal","$136500","$65500","$71000"
"US Surgical Corp (Tyco International)","Ireland/Tyco International","$0","$0","$0"
"Wackenhut Corp (Group 4 Falck)","Denmark/Group 4 Falck","$20250","$4250","$16000"
"Wackenhut Corrections Corp (Group 4 Falck)","Denmark/Group 4 Falck","$0","$0","$0"
"Westfield Corp","Australia/Westfield Group of Australia","$23619","$21619","$2000"
"Westinghouse Electric (BNFL PLC)","UK/British Nuclear Fuels PLC","$5250","$500","$4750"
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$93500","$34000","$59500"
"Zurich Insurance (Zurich Financial Services)","Switzerland/Zurich Financial Services","$98182","$32000","$66182"
