"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"Domnick Hunter Inc","UK/Domnick Hunter Group","$1500","$0","$1500"
"E ON US","Germany/Eon AG","$19500","$1000","$18500"
"Essroc Corp","Italy/Italcementi Group","$7900","$2500","$5400"
"Experian","UK/GUS plc","$53250","$17000","$36250"
"Farmers Group (Zurich Financial Services)","Switzerland/Zurich Financial Services","$36350","$3500","$32850"
"First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$0","$0","$0"
"Food Lion","Belgium/Delhaize Group","$36150","$7900","$28250"
"Foster Wheeler","Switzerland/Foster Wheeler PLC","$0","$0","$0"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$7500","$3000","$4500"
"Gambro BCT","Sweden/Gambro AB","$4500","$0","$4500"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Group","$157750","$83750","$74000"
"GKN Corp","UK/GKN PLC","$4280","$0","$4280"
"GlaxoSmithKline","UK/GlaxoSmithKline","$744999","$224496","$520503"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$27500","$12750","$14750"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$47000","$5000","$42000"
"Greyhound Lines","Canada/Laidlaw","$30000","$14000","$16000"
"Heineken USA (Heineken NV)","Netherlands/Heineken NV","$26000","$9000","$17000"
"Herbalife International","UK/Herbalife Ltd","$53280","$22780","$30500"
"Hill & Knowlton (WPP Group)","UK/WPP Group","$15000","$5750","$9250"
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$89000","$28500","$60500"
"Holcim US","Switzerland/Holcim Ltd","$43408","$12608","$30800"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$566920","$214171","$352749"
"HSBC USA (HSBC Holdings)","UK/HSBC Holdings","$3100","$3000","$100"
"Infineon Technologies","Germany/Infineon Technologies AG","$10950","$3000","$7950"
"ING US (ING Group)","Netherlands/ING Group","$77500","$36000","$41500"
"Instinet Corp","UK/Reuters Group","$41500","$13500","$28000"
"Jackson National Life Insurance","UK/Prudential PLC","$40350","$10500","$29850"
"John Hancock Financial Services","Canada/Manulife Financial","$59000","$38000","$21000"
"Kennecott Energy","UK/Rio Tinto PLC","$76200","$15500","$59700"
"LaFarge North America","France/Lafarge SA","$56000","$17000","$39000"
"LaSalle Bank (ABN AMRO)","Netherlands/ABN Amro Holding","$108750","$61250","$47500"
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$4000","$0","$4000"
"Lehigh Cement","Germany/HeidelbergCement AG","$22500","$3000","$19500"
"Lone Star Industries","Italy/Buzzi Unicem","$2500","$2500","$0"
"Loral Space & Communications","UK/Loral Space & Communications","$82000","$62000","$20000"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$57675","$21500","$36175"
"Massachusetts Financial Services","Canada/Sun Life Financial Services","$5000","$3000","$2000"
"McDermott International (McDermott International)","Panama/McDermott International","$18500","$6500","$12000"
"Miller Brewing","UK/SABMiller PLC","$68500","$29000","$39500"
"MONY Group (AXA)","France/AXA","$24500","$7500","$17000"
"National Grid USA (National Grid plc)","UK/National Grid plc","$77550","$30750","$46800"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$15000","$3000","$12000"
"Nestle USA (Nestle SA)","Switzerland/Nestle","$40250","$17250","$23000"
"Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$600","$0","$600"
"News America Publishing (News Corporation)","Australia/News Corp","$210500","$108000","$102500"
"Norwegian Cruise Line","Malaysia/Genting Group","$0","$0","$0"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$232428","$73191","$159237"
"Oldcastle Materials","Ireland/CRH PLC","$280107","$115700","$164407"
"Organon Inc","Netherlands/Akzo Nobel","$0","$0","$0"
"PacifiCorp","UK/Scottish Power","$6500","$1000","$5500"
"Pennsylvania-American Water Co (RWE AG)","Germany/RWE AG","$0","$0","$0"
"Peter Pan Seafoods","Japan/Nichiro Corp","$4500","$250","$4250"
"Philips Electronics North America","Netherlands/Philips Electronics","$59710","$9000","$50710"
"PotashCorp","Canada/Potash Corporation of Saskatchewan","$12250","$1500","$10750"
"RBC Centura Banks","Canada/Royal Bank of Canada","$5250","$1250","$4000"
"Reed Elsevier Inc","UK/Reed Elsevier Group","$50500","$13500","$37000"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce International","$137000","$40000","$97000"
"Sagem Morpho Inc","France/Sagem SA","-$9050","-$9050","$0"
"Sanofi-Pasteur Inc (Sanofi-Aventis)","France/Sanofi-Aventis","$105300","$45000","$60300"
"SAP America","Germany/SAP AG","$146250","$56500","$89750"
"Schaeffler Group USA","Germany/Schaeffler Group","$13000","$6000","$7000"
"Securitas Security Services USA","Sweden/Securitas AB","$9000","$3000","$6000"
"Serono Inc","Switzerland/Serono SA","$8500","$6000","$2500"
"SES Americom (SES SA)","Luxembourg/SES SA","$14500","$8000","$6500"
"Shaklee Corp (Yamanouchi Consumer)","Japan/Yamanouchi Pharmaceutical","$0","$0","$0"
"Shell Oil (Royal Dutch/Shell Group of Companies)","Netherlands/Royal Dutch-Shell","$80500","$13000","$67500"
"Siemens Corp (Siemens AG)","Germany/Siemans AG","$324299","$133799","$190500"
"Smith & Nephew","UK/Smith & Nephew Plc","$22500","$5000","$17500"
"Sodexho Inc","France/Sodexho Alliance","$29750","$24250","$5500"
"Solvay Pharmaceuticals","Belgium/Solvay SA","$21000","$3000","$18000"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$225500","$89000","$136500"
"Standard Federal Bank (ABN AMRO)","Netherlands/ABN Amro Holding","$24342","$9342","$15000"
"Swedish Match North America","Sweden/Swedish Match AB","$32212","-$500","$32712"
"Syngenta Corp","Switzerland/Syngenta AG","$73200","$18000","$55200"
"Syntex (USA) Inc (Roche Holdings)","Switzerland/Roche Holdings","$0","$0","$0"
"T-Mobile USA","Germany/Deutsche Telekom AG","$72000","$38500","$33500"
"Timex Corp","Netherlands/Timex Group","$0","$0","$0"
"TOTAL Petrochemicals (TOTAL SA)","France/TOTAL SA","$4500","$500","$4000"
"Tractebel North America (SUEZ SA)","France/SUEZ SA","$27500","$12500","$15000"
"Tyco International (Tyco International)","Ireland/Tyco International","$78000","$15000","$63000"
"UBS Americas","Switzerland/UBS AG","$452100","$159100","$288000"
"UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$8500","$7500","$1000"
"United Water (SUEZ SA)","France/SUEZ SA","$13000","$9500","$3500"
"Universal Music Group (Vivendi Universal)","France/Vivendi Universal","$13000","$4500","$8500"
"USFilter Corp (Siemens AG)","Germany/Siemens AG","$19500","$500","$19000"
"VT Halter Marine","Singapore/ST Engineering","$9000","$2000","$7000"
"Wackenhut Corp","Denmark/Group 4 Securicor","$41250","$12250","$29000"
"Westfield Corp","Australia/Westfield Group of Australia","$33205","$24969","$6998"
"Westinghouse Electric (BNFL PLC)","UK/British Nuclear Fuels PLC","$10000","$2500","$7500"
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$100000","$30500","$69500"
"XL America","UK/XL Capital","$3000","$0","$3000"
"Zurich Insurance (Zurich Financial Services)","Switzerland/Zurich Financial Services","$195869","$59000","$135369"
