"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"BAE Systems Information Technology (BAE Systems North America)","UK/BAE Systems","$0","$0","$0"
"BAE Systems Land & Armaments (BAE Systems)","UK/BAE Systems","$295500","$79000","$214500"
"Ballard Power Systems","Canada/Ballard Power Systems","$2000","$2000","$0"
"BancWest Corp (BNP Paribas)","France/BNP Paribas","$5500","$2500","$3000"
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$59000","$24000","$34000"
"BASF Corp","Germany/BASF Group","$151000","$17000","$133000"
"Bayer Corp","Germany/Bayer AG","$255000","$52500","$198500"
"BOC Group","UK/BOC Group","$0","$0","$0"
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$16800","$4300","$11500"
"Bombardier Transportation USA","Canada/Bombardier Inc","$9850","$5500","$4350"
"BP","UK/BP PLC","$219500","$75000","$142500"
"Bridgestone Americas","Japan/Bridgestone Corp","$108750","$39000","$69750"
"Burson-Marsteller (WPP Group)","UK/WPP Group","$65500","$27500","$36500"
"Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$15000","$3500","$11500"
"BWX Technologies (McDermott International)","Panama/McDermott International","$153500","$37000","$114500"
"California Portland Cement Co","Japan/Taiheiyo Cement Co","$38860","$4360","$34500"
"Case New Holland","Italy/Fiat SPA","$44500","$7500","$37000"
"CGI-AMS","Canada/CGI Group","$0","$0","$0"
"CGU Corp","UK/CGNU PLC","$6500","$6500","$0"
"Ciba Specialty Chemicals","Switzerland/Ciba Specialty Chemicals Holding","$18000","$5000","$13000"
"CIBC World Markets","Canada/Canadian Imperial Bank of Commerce","$0","$0","$0"
"Cooper Industries","Ireland/Cooper Industries Ltd","$145000","$4500","$140500"
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$508860","$242860","$261000"
"DaimlerChrysler (DaimlerChrysler)","Germany/DaimlerChrysler AG","$416090","$140590","$273500"
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$0","$0","$0"
"DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$0","$0","$0"
"Diageo North America","UK/Diageo PLC","$64000","$19500","$34500"
"Dial Corp","Germany/Henkel KGaA","$22750","$6000","$16750"
"E ON US","Germany/Eon AG","$19000","$3000","$16000"
"EADS North America","Netherlands/European Aeronautic Defence & Space Co","$31900","$9000","$20800"
"EmCare Inc","Canada/Onex Corp","$0","$0","$0"
"Essroc Corp","Italy/Italcementi Group","$3500","$1000","$2500"
"Experian","UK/Experian","$191353","$77753","$112600"
"Farmers Group (Zurich Financial Services)","Switzerland/Zurich Financial Services","$123500","$23000","$99500"
"Food Lion","Belgium/Delhaize Group","$21250","$4500","$16750"
"Foster Wheeler","Switzerland/Foster Wheeler PLC","$17550","$300","$17250"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$74500","$28700","$45800"
"Gambro BCT","Sweden/Gambro AB","$0","$0","$0"
"GDF Suez Energy North America (SUEZ SA)","France/SUEZ SA","$83008","$23000","$60008"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Group","$201500","$76500","$115000"
"GKN Corp","UK/GKN PLC","$6000","$0","$6000"
"GlaxoSmithKline","UK/GlaxoSmithKline","$891413","$256686","$623727"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$34032","$14657","$19375"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$34500","$9000","$25500"
"Greyhound Lines","Canada/Laidlaw","$27000","$16000","$11000"
"Heineken USA (Heineken NV)","Netherlands/Heineken NV","$69500","$36500","$30500"
"Herbalife International","UK/Herbalife Ltd","$99894","$48144","$51750"
"Hill & Knowlton (WPP Group)","UK/WPP Group","$8750","$4000","$4750"
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$180900","$69000","$111900"
"Holcim US","Switzerland/Holcim Ltd","$52000","$20000","$32000"
"HSBC North America","UK/HSBC Holdings","$663210","$239450","$413760"
"Infineon Technologies","Germany/Infineon Technologies AG","$8500","$3400","$4100"
"ING US (ING Group)","Netherlands/ING Group","$80500","$34500","$42000"
"Intelsat Holdings","Luxembourg/Intelsat SA","$15500","$11000","$4500"
"Intermagnetics General Corp (Philips Electronics)","Netherlands/Philips Electronics","$28100","$17100","$11000"
"Jackson National Life Insurance","UK/Prudential PLC","$48500","$8500","$40000"
"John Hancock Financial Services","Canada/Manulife Financial","$50880","$31380","$18500"
"Kennecott Energy","UK/Rio Tinto PLC","$66000","$10500","$55500"
"LaFarge North America (Lafarge SA)","France/Lafarge SA","$55500","$23000","$32500"
"LaFarge North America (Lafarge SA)","France/Lafarge SA","$0","$0","$0"
"LaSalle Bank","Netherlands/ABN Amro Holding","$90250","$48000","$42250"
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$1000","$0","$1000"
"Lehigh Cement","Germany/HeidelbergCement AG","$18500","$3000","$15500"
"Lone Star Industries","Italy/Buzzi Unicem","$1000","$0","$1000"
"Loral Space & Communications","UK/Loral Space & Communications","$31482","$21482","$10000"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$71500","$15500","$56000"
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$11000","$5000","$6000"
"McDermott International (McDermott International)","Panama/McDermott International","$15500","$3000","$12500"
"Metro-Goldwyn-Mayer (Sony Corp)","Japan/Sony Corp","$5200","$1000","$4200"
"Miller Brewing","UK/SABMiller PLC","$112000","$37500","$74500"
"MONY Group (AXA)","France/AXA","$0","$0","$0"
"National Grid USA (National Grid plc)","UK/National Grid plc","$102750","$39250","$63000"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$23250","$5500","$17750"
"Nestle USA (Nestle SA)","Switzerland/Nestle","$31000","$16000","$15000"
"Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$9500","$0","$3500"
"Norwegian Cruise Line","Malaysia/Genting Group","$27000","$19000","$8000"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$239663","$65618","$173045"
"Novartis Vaccines & Diagnostics (Novartis AG)","Switzerland/Novartis AG","$16100","$9000","$6100"
"Novo Nordisk","Denmark/Novo Nordisk A/S","$7500","$3000","$4500"
"Oldcastle Materials","Ireland/CRH PLC","$257500","$98000","$149500"
"Organon Inc","Netherlands/Akzo Nobel","$0","$0","$0"
"Peter Pan Seafoods","Japan/Nichiro Corp","$6100","$500","$5600"
"Pharmavite LLC","Japan/Otsuka Pharmaceutical","$21230","$11230","$10000"
"Philips Electronics North America (Philips Electronics)","Netherlands/Philips Electronics","$70467","$12900","$56567"
"Planning Systems Inc (Qinetiq Group)","UK/QinetiQ Group","$43200","$21000","$22200"
"PotashCorp","Canada/Potash Corporation of Saskatchewan","$10000","$4000","$6000"
"PPM Energy","UK/Scottish Power","$3000","$1000","$2000"
"Qimonda North America","Germany/Qimonda AG","$1000","$0","$1000"
"RBC Centura Banks","Canada/Royal Bank of Canada","$2000","$0","$2000"
"Reebok International","Germany/adidas AG","$30100","$19900","$8200"
"Reed Elsevier Inc","UK/Reed Elsevier Group","$64000","$18000","$46000"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce International","$155000","$40500","$114500"
"Sagem Morpho Inc","France/Sagem SA","$0","$0","$0"
"Sanofi-Aventis US (Sanofi-Aventis)","France/Sanofi-Aventis","$125500","$21500","$99000"
"Sanofi-Pasteur Inc (Sanofi-Aventis)","France/Sanofi-Aventis","$120335","$34000","$86335"
"SAP America","Germany/SAP AG","$160700","$43000","$115200"
"Schaeffler Group USA","Germany/Schaeffler Group","$12000","$4000","$6000"
"Securitas Security Services USA","Sweden/Securitas AB","$12250","$250","$11000"
"Serono Inc","Switzerland/Serono SA","$5500","$4500","$1000"
"SES Americom (SES SA)","Luxembourg/SES SA","$13500","$3500","$10000"
"Shell Oil (Royal Dutch Shell)","Netherlands/Royal Dutch Shell","$71500","$10000","$61500"
"Shire Pharmaceuticals","UK/Shire Plc","$0","$0","$0"
"Siemens Corp (Siemens AG)","Germany/Siemans AG","$317999","$133000","$183999"
"Smith & Nephew","UK/Smith & Nephew Plc","$27000","$10000","$16000"
"Sodexho Inc","France/Sodexho Alliance","$38500","$26500","$12000"
"Solvay Pharmaceuticals","Belgium/Solvay SA","$59000","$11000","$48000"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$224649","$100500","$123149"
"Spirit Aerosystems","Canada/Onex Corp","$0","$0","$0"
"Sun Life Assurance of Canada (Sun Life Financial)","Canada/Sun Life Financial","$3000","$2000","$1000"
"Swedish Match North America","Sweden/Swedish Match AB","$39872","$4000","$35872"
"Syngenta Corp","Switzerland/Syngenta AG","$115250","$34500","$80750"
"Syntex (USA) Inc (Roche Holdings)","Switzerland/Roche Holdings","$0","$0","$0"
"T-Mobile USA","Germany/Deutsche Telekom AG","$241500","$101500","$140000"
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$16750","$0","$16750"
"Timex Corp","Netherlands/Timex Group","$0","$0","$0"
"TOTAL Petrochemicals (TOTAL SA)","France/TOTAL SA","$2000","$1000","$1000"
"Tyco International (Tyco International)","Ireland/Tyco International","$190000","$42000","$145500"
"UBS Americas","Switzerland/UBS AG","$726900","$287900","$424000"
"UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$14250","$7750","$6500"
"United Water (SUEZ SA)","France/SUEZ SA","$17800","$16800","$1000"
"Universal Music Group (Vivendi Universal)","France/Vivendi Universal","$147226","$63250","$82476"
"USFilter Corp (Siemens AG)","Germany/Siemens AG","$0","$0","$0"
"VT Halter Marine","Singapore/ST Engineering","$3500","$500","$3000"
"Wackenhut Corp","Denmark/Group 4 Securicor","$19600","$0","$19600"
"Westfield Corp","Australia/Westfield Group of Australia","$26088","$21088","$5000"
"Westinghouse Electric","Japan/Toshiba Corp","$21500","$4000","$17500"
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$104500","$37000","$66500"
"Willis North America","UK/Willis Group","$7000","$3000","$4000"
"XL America","UK/XL Capital","$10500","$500","$8000"
"ZLB Behring","Australia/CSL Ltd","$3500","$0","$3500"
"Zurich Insurance (Zurich Financial Services)","Switzerland/Zurich Financial Services","$211000","$58500","$149500"
