"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"EDP Renewables NA","Portugal/EDP - Energias de Portugal","$23000","$10000","$13000"
"Eisai Inc","Japan/Eisai Co Ltd","$20300","$7500","$12800"
"Elbit Systems of America","Israel/Elbit Systems Ltd","$55450","$9100","$46350"
"Elekta Inc (Elekta AB)","Sweden/Elekta AB","$73000","$35500","$37500"
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$47500","$13500","$34000"
"EMD Serono Inc","Germany/Merck KGaA","$174500","$74500","$100000"
"Empire District Electric (Algonquin Power & Utilities)","Canada/Algonquin Power & Utilities","$13500","$4000","$9500"
"Empower Retirement (Power Financial Corp)","Canada/Power Financial Corp","$50500","$21500","$29000"
"Enbridge Inc","Canada/Enbridge Inc","$112000","$31000","$81000"
"Endo Pharmaceuticals","Ireland/Endo International","$165500","$72000","$93500"
"ENGIE North America","France/ENGIE","$11500","$6000","$5500"
"Equitable Holdings (AXA)","France/AXA","$152000","$69500","$82500"
"Ericsson Inc","Sweden/Telefonaktiebolaget LM Ericsson","$66000","$33000","$33000"
"Essent US Holdings","UK/Essent Group","$16500","$10500","$6000"
"Experian","UK/Experian","$727500","$269500","$458000"
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$236500","$94000","$142500"
"Fincantieri Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$24750","$9500","$15250"
"Florida East Coast Industries (SoftBank Corp)","Japan/SoftBank Corp","$75500","$24000","$51500"
"Florida East Coast Railway (Grupo Mexico)","Mexico/Grupo Mexico","$3469","$3169","$300"
"Framatome (EDF Group)","France/EDF Group","$66000","$34000","$32000"
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$496500","$258000","$238500"
"G4S Secure Solutions","UK/G4S plc","$45000","$5000","$40000"
"Garmin International (Garmin Ltd)","Switzerland/Garmin Ltd","$49000","$11500","$37500"
"GE Appliances","China/Haier Group","$36000","$7500","$28500"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$458000","$228500","$229500"
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$2500","$0","$2500"
"Gerdau Ameristeel Corp","Brazil/Gerdau Inc","$4000","$0","$4000"
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$0","$0","$0"
"Glanbia Performance Nutrition (Glanbia PLC)","Ireland/Glanbia plc","$0","$0","$0"
"GlaxoSmithKline","UK/GlaxoSmithKline","$199000","$77000","$122000"
"Glover Park Group (WPP Group)","UK/WPP Group","$135780","$98780","$37000"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$17000","$5500","$11500"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$0","$0","$0"
"Greyhound Lines","UK/FirstGroup PLC","$13000","$9500","$3500"
"Hannover Life Reassurance Co","Germany/Hannover Re","$5000","$2500","$2500"
"Headwaters Inc","Australia/Boral Ltd","$23000","$4000","$19000"
"Heineken USA","Netherlands/L'Arche Green NV","$47500","$25500","$22000"
"Herbalife Nutrition","UK/Herbalife Ltd","$104000","$59000","$45000"
"Holcim US (LafargeHolcim)","Switzerland/LaFargeHolcim","$57000","$13500","$43500"
"Horizon Therapeutics","Ireland/Horizon Pharma PLC","$156500","$71500","$85000"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$2000","$0","$2000"
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$192500","$89500","$103000"
"IBI Group Engineering Services","Canada/IBI Group","$0","$0","$0"
"IDEMIA Identity & Security (IDEMIA)","France/IDEMIA","$20500","$11000","$9500"
"IGT Global Solutions","Italy/B&D Holding Di Marco Drago e C Sapa","$45800","$27300","$18500"
"Infineon Technologies","Germany/Infineon Technologies AG","$25750","$16000","$9750"
"Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$16500","$8500","$8000"
"Intergraph Corp","Sweden/Hexagon AB","$4800","$0","$4800"
"Ipsen Biopharmaceuticals","France/Ipsen SA","$0","$0","$0"
"ITG Brands","UK/Imperial Brands","$86500","$14000","$71500"
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$110500","$30000","$80500"
"Jackson National Life Insurance (Prudential PLC)","UK/Prudential PLC","$201000","$59000","$142000"
"JBS USA","Brazil/JBS SA","$125500","$18000","$107500"
"John Hancock Life Insurance","Canada/Manulife Financial","$100500","$54500","$46000"
"Johnson Controls (Johnson Controls International)","Ireland/Johnson Controls International","$276400","$129400","$147000"
"Komatsu Mining","Japan/Komatsu Ltd","$13500","$4000","$9500"
"Lanxess Corp (Lanxess AG)","Germany/Lanxess AG","$5500","$3000","$2500"
"Lehigh Hanson","Germany/HeidelbergCement AG","$173000","$26000","$147000"
"Leonardo DRS","Italy/Leonardo SpA","$222000","$85000","$137000"
"Lincare Holdings (Linde plc)","UK/Linde plc","$12000","$1000","$11000"
"Linde North America (Linde plc)","UK/Linde plc","$0","$0","$0"
"Linde plc (Linde plc)","UK/Linde Plc","$14000","$11000","$3000"
"Livanova USA","UK/Livanova Plc","$4500","$0","$4500"
"Louis Dreyfus Co","Netherlands/Louis Dreyfus Group","$4000","$0","$4000"
"LSEG US","UK/London Stock Exchange Group","$38000","$25500","$12500"
"Lundbeck Inc","Denmark/H Lundbeck A/S","$106000","$55500","$50500"
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$112000","$26500","$85500"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$44500","$27500","$17000"
"Magnolia LNG (Glenfarne Group)","Australia/Glenfarne Group","$5000","$0","$5000"
"Mallinckrodt Pharmaceuticals","UK/Mallinckrodt Plc","$67500","$18000","$49500"
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$2500","$0","$2500"
"Maxar Technologies (Maxar Technologies)","Canada/Maxar Technologies","$161000","$80000","$81000"
"MBDA Inc","UK/MBDA","$0","$0","$0"
"Medtronic Inc","Ireland/Medtronic Plc","$245000","$142000","$103000"
"Messer North America","Germany/Messer Group","$44500","$21500","$23000"
"Mitsubishi Power","Japan/Mitsubishi Power","$6000","$1000","$5000"
"Molson Coors Beverage Co (Molson Coors Brewing)","Canada/Molson Coors Brewing","$93000","$30000","$63000"
"MUFG Americas","Japan/Mitsubishi UFJ Financial Group","$0","$0","$0"
"Munich American Reassurance","Germany/Munich Re Group","$7500","$5000","$2500"
"Nammo Inc (Nammo AS)","Norway/Nammo AS","$2500","$1250","$1250"
"Nammo Talley Inc (Nammo AS)","Norway/Nammo AS","$4750","$2250","$2500"
"National Grid USA (National Grid plc)","UK/National Grid plc","$42000","$31000","$11000"
"Natixis Investment Managers","France/Groupe BPCE","$4011","$1000","$3011"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$43250","$13500","$29750"
"Nomura Holding America","Japan/Nomura Holdings","$102500","$50000","$52500"
"NOVA Chemicals","United Arab Emirates/International Petroleum Investment Co","$1200","$0","$1200"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$290000","$141000","$149000"
"Novo Nordisk","Denmark/Novo Nordisk A/S","$414582","$224927","$189655"
"Novocure Inc","UK/Novocure","$65600","$16000","$49600"
"Nutrien Ag Solutions","Canada/Nutrien Ltd","$49900","$23400","$26500"
"Orano USA (Orano Group)","France/Orano Group","$1500","$0","$1500"
"Otsuka America (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$59250","$34750","$24500"
"Permobil Inc (Investor AB)","Sweden/Investor AB","$5000","$0","$5000"
"Pernod Ricard USA","France/Pernod Ricard SA","$13500","$4500","$9000"
"Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$4000","$500","$3500"
"Pharmavite LLC (Otsuka Pharmaceutical)","Japan/Otsuka Pharmaceutical","$70000","$35000","$35000"
"Philips Electronics North America (Philips)","Netherlands/Philips","$151000","$78500","$72500"
"Prime Policy Group (WPP Group)","UK/WPP Group","$56000","$19000","$36500"
"Protective Life Corp (Dai-Ichi Life)","Japan/Dai-Ichi Life","$199900","$31000","$168900"
"Purpose Financial (Grupo Salinas)","Mexico/Grupo Salinas","$42500","$2000","$40500"
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$7388","$0","$7388"
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$60500","$38500","$22000"
"Recurrent Energy","Canada/Canadian Solar","$5000","$0","$5000"
"RELX Inc","UK/RELX Group","$244000","$110000","$134000"
"Resolute FP US","Canada/Resolute Forest Products","$88000","$15500","$72500"
"Reynolds American (British American Tobacco)","UK/British American Tobacco plc","$386460","$66500","$319960"
"Rio Tinto America","UK/Rio Tinto Group","$13000","$7500","$5500"
"Roche Diagnostics (Roche Holdings)","Switzerland/Roche Holdings","$43500","$12500","$31000"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$258500","$97500","$161000"
"Sabic Innovative Plastics","Saudi Arabia/SABIC","$5500","$2000","$3500"
"Safelite Group","Belgium/D'Ieteren SA","$4800","-$1000","$5800"
"Samsung Electronics America","South Korea/Samsung Group","$297000","$171000","$126000"
"Sanofi US (Sanofi)","France/Sanofi","$298500","$114000","$184500"
"Santander Bank (Banco Santander)","Spain/Banco Santander","$114500","$53000","$61500"
"SAP America","Germany/SAP SE","$30500","$21000","$9500"
"Schwan's Co","South Korea/CJ CheilJedang","$194000","$71000","$123000"
"Securitas Security Services USA","Sweden/Securitas AB","$0","$0","$0"
"Serco Inc","UK/Serco Group","$141500","$71500","$70000"
"Shell Oil","Netherlands/Royal Dutch Shell","$5000","$1000","$4000"
"Shire Holdings US (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","-$12500","-$1500","-$11000"
"Siemens Corp","Germany/Siemens AG","$127250","$76750","$50500"
"Smith & Nephew","UK/Smith & Nephew Plc","$93500","$39000","$54500"
"Smithfield Foods","China/WH Group","$95500","$25000","$70500"
"Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$65500","$30500","$35000"
"Sodexo Inc","France/Sodexo","$3000","$0","$3000"
"Solvay America","Belgium/Solvay SA","$34000","$12500","$21500"
"Sony Music Entertainment (Sony Corp)","Japan/Sony Corp","$12500","$7500","$5000"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$93500","$63000","$30500"
"Spark Therapeutics (Roche Holdings)","Switzerland/Roche Holdings","$11500","$4500","$7000"
"SSAB Americas","Sweden/SSAB AB","$27000","$7500","$19500"
"Standard Insurance Co","Japan/Meiji Yasuda Life Insurance","$3500","$0","$3500"
"Steris Corp","UK/Steris PLC","$72750","$12500","$60250"
"SUEZ Water","France/SUEZ Environnement","$5500","$4500","$1000"
"Sun Life Financial (Sun Life Financial)","Canada/Sun Life Financial","$112500","$66500","$43500"
"Sunovion Pharmaceuticals (Sumitomo Chemical)","Japan/Sumitomo Chemical","$88000","$41000","$47000"
"Sunpower Corp","France/Total SA","$24000","$23500","$500"
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$3500","$0","$3500"
"Swiss Re America","Switzerland/Swiss Reinsurance","$30500","$17500","$13000"
"Syngenta Corp","China/ChemChina","$143000","$61000","$82000"
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$136000","$66000","$70000"
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$14750","$3500","$11250"
"TD Bank USA","Canada/Toronto-Dominion Bank","$171200","$80200","$91000"
"TE Connectivity","Switzerland/TE Connectivity","$114500","$61000","$53500"
"TECO Energy","Canada/Emera Inc","$31000","$8500","$22500"
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$77300","$44300","$33000"
"Toyota Motor North America","Japan/Toyota Motor Corp","$1161642","$583000","$578642"
"Trane Technologies","Ireland/Trane Technologies","$6800","$2000","$4800"
"TransAmerica","Netherlands/Aegon NV","$504000","$243500","$259500"
"Transcanada USA Services (TC Energy)","Canada/TC Energy","$142500","$58500","$84000"
"Travelport Inc","UK/Travelport Ltd","$0","$0","$0"
"UBS Americas","Switzerland/UBS AG","$1615000","$802500","$812500"
"UCB Inc (UCB SA)","Belgium/UCB SA","$35000","$13500","$21500"
"Ultra Electronics USA","UK/Ultra Electronics","$41500","$14000","$27500"
"Universal Music Group (Vivendi)","France/Vivendi","$128750","$73000","$55750"
"Valent USA (Sumitomo Chemical)","Japan/Sumitomo Chemical","$14000","$8500","$5500"
"VNA Holding (AB Volvo)","Sweden/AB Volvo","$112500","$48000","$64500"
"VT Halter Marine","Singapore/ST Engineering","$11200","$0","$11200"
"Washington Gas Light Co (AltaGas Ltd)","Canada/AltaGas Ltd","$25500","$18500","$7000"
"Westinghouse Electric","Canada/Brookfield Business Partners","$43500","$8000","$35500"
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$0","$0","$0"
"WSP USA","Canada/WSP Global","$147250","$108750","$38500"
"XL America (AXA)","France/AXA","$0","$0","$0"
"ZF Automotive US (ZF Friedrichshafen AG)","Germany/ZF Friedrichshafen AG","$24500","$14500","$10000"
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$267500","$143000","$124500"
