"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"Natixis Global Asset Management","France/Groupe BPCE","$0","$0","$0"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$22500","$4750","$17750"
"Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$22000","$19000","$3000"
"Nomura Holding America","Japan/Nomura Holdings","$65500","$24500","$41000"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$330200","$130500","$199700"
"Novo Nordisk","Denmark/Novo Nordisk A/S","$232042","$118648","$112394"
"Oldcastle Materials","Ireland/CRH PLC","$207500","$86000","$116500"
"Parsons Brinckerhoff","UK/Balfour Beatty","$162500","$115750","$46750"
"Pernod Ricard USA","France/Pernod Ricard SA","$3000","$0","$3000"
"Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$4750","$2000","$2750"
"Pharmavite LLC","Japan/Otsuka Pharmaceutical","$75500","$35000","$40500"
"Philips Electronics North America (Philips Electronics)","Netherlands/Philips Electronics","$125704","$24394","$100310"
"Philips Medical Systems (Philips Electronics)","Netherlands/Philips Electronics","$0","$0","$0"
"PotashCorp","Canada/Potash Corporation of Saskatchewan","$26000","$15000","$11000"
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$31212","$8500","$22712"
"QinetiQ North America (Qinetiq Group)","UK/QinetiQ Group","$32000","$12000","$20000"
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$0","$0","$0"
"RBC Centura Banks (Royal Bank of Canada)","Canada/Royal Bank of Canada","$0","$0","$0"
"Reebok International","Germany/adidas AG","$0","$0","$0"
"Reed Elsevier Inc","UK/Reed Elsevier Group","$103500","$54000","$49500"
"Renewable Energy Systems Americas","UK/Renewable Energy Systems","$31750","$17750","$14000"
"Renre North America Inc","UK/RenaissanceRe Holdings","$0","$0","$0"
"Res-Care Inc (Onex Corp)","Canada/Onex Corp","$28750","$7000","$21750"
"Research In Motion","Canada/Research in Motion","$3500","$1000","$2500"
"Rio Tinto America","UK/Rio Tinto Group","$28000","$7500","$20500"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$263250","$73500","$189750"
"Royal Ten Cate USA","Netherlands/Koninklijke Ten Cate","$10250","$3000","$7250"
"Safelite Group","Belgium/D'Ieteren SA","$0","$0","$0"
"Safran USA (Safran SA)","France/Le Groupe Safran","$11250","$2500","$8750"
"Sanofi US (Sanofi)","France/Sanofi","$125500","$59000","$66500"
"Sanofi-Pasteur Inc (Sanofi)","France/Sanofi","$91000","$34500","$56500"
"Santander Bank (Banco Santander)","Spain/Banco Santander","$0","$0","$0"
"SAP America","Germany/SAP AG","$90500","$35500","$55000"
"Schaeffler Group USA","Germany/Schaeffler Group","$1000","$0","$1000"
"Securitas Security Services USA","Sweden/Securitas AB","$16250","$1000","$15250"
"Serco Inc","UK/Serco Group","$141400","$49000","$92400"
"SES Americom (SES SA)","Luxembourg/SES SA","$0","$0","$0"
"Shell Oil","Netherlands/Royal Dutch Shell","$27000","$2500","$24500"
"Shire Pharmaceuticals (Shire Plc)","UK/Shire Plc","$0","$0","$0"
"Siemens Corp","Germany/Siemens AG","$290000","$138500","$151500"
"Skilled Healthcare Group (Onex Corp)","Canada/Onex Corp","$84250","$31750","$52500"
"Smith & Nephew","UK/Smith & Nephew Plc","$26000","$10000","$16000"
"Smiths Group Services Corp","UK/Smiths Group PLC","$62250","$16500","$47750"
"Sodexo Inc","France/Sodexo","$33000","$26000","$7000"
"Solvay America","Belgium/Solvay SA","$0","$0","$0"
"SonoSite Inc","Japan/FujiFilm","$1750","$750","$1000"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$221248","$116248","$105000"
"Space Systems/Loral","Canada/MacDonald Dettwiler & Assoc","$11000","$4000","$7000"
"Spirit Aerosystems (Onex Corp)","Canada/Onex Corp","$31500","$3000","$28500"
"Sprint Nextel (Sprint Nextel)","Japan/Softbank Corp","$312306","$151500","$160806"
"SSAB Americas","Sweden/SSAB AB","$10500","$2000","$8500"
"StandardAero","United Arab Emirates/Dubai Aerospace Enterprise","$24000","$6000","$18000"
"Sun Life Assurance of Canada (Sun Life Financial)","Canada/Sun Life Financial","$5000","$1000","$4000"
"Sunovion Pharmaceuticals","Japan/Sumitomo Chemical","$32000","$13000","$19000"
"Sunpower Corp","France/Total SA","$20500","$12000","$7500"
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$54509","$15500","$39009"
"Swiss Re America","Switzerland/Swiss Reinsurance","$20000","$10500","$9500"
"Syngenta Corp","Switzerland/Syngenta AG","$255000","$90500","$164500"
"T-Mobile USA","Germany/Deutsche Telekom AG","$473500","$198500","$275000"
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$67000","$33500","$33500"
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$19250","$3250","$16000"
"TD Bank USA","Canada/Toronto-Dominion Bank","$38500","$18500","$17500"
"TE Connectivity","Switzerland/TE Connectivity","$62000","$11500","$50500"
"Terumo BCT","Japan/Terumo Corp","$1000","$1000","$0"
"Teva Pharmaceuticals USA (Teva Pharmaceutical Industries)","Israel/Teva Pharmaceutical Industries","$204500","$94500","$110000"
"TransAmerica","Netherlands/Aegon NV","$237000","$107500","$129500"
"Transcanada USA Services","Canada/TransCanada Corp","$0","$0","$0"
"Tronox Inc","Australia/Tronox Ltd","$500","$0","$500"
"Tyco International","Ireland/Tyco International","$360742","$120000","$240742"
"UBS Americas","Switzerland/UBS AG","$861500","$461500","$400000"
"Ultra Electronics Prologic","UK/Ultra Electronics","$0","$0","$0"
"UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$23000","$10500","$12500"
"United Water","France/SUEZ Environnement","$27000","$25500","$1500"
"Universal Music Group (Vivendi Universal)","France/Vivendi Universal","$95251","$48500","$46751"
"VT Halter Marine","Singapore/ST Engineering","$5000","$0","$5000"
"Weatherford US","UK/Weatherford International","$8000","$0","$8000"
"Westfield Corp","Australia/Westfield Group of Australia","$34353","$34353","$0"
"Westinghouse Electric","Japan/Toshiba Corp","$65700","$29000","$36700"
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$127500","$51500","$76000"
"Willis North America","UK/Willis Group","$14000","$0","$14000"
"XL America","Ireland/XL Group PLC","$8300","$7300","$1000"
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$164500","$73500","$89000"
