"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"GDF Suez Energy North America","France/GDF SUEZ","$75000","$36500","$38500"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$262500","$186000","$76500"
"GKN Corp","UK/GKN PLC","$3000","$500","$2500"
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$250","$0","$250"
"GlaxoSmithKline","UK/GlaxoSmithKline","$811420","$328870","$482550"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$29050","$18700","$10350"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$21500","$13500","$8000"
"Greyhound Lines","UK/FirstGroup PLC","$26000","$16500","$9500"
"Hanson Building Products North America","Germany/Spohn Cement Gmbh","$5787","$3787","$2000"
"Heineken USA","Netherlands/L'Arche Green NV","$56500","$40500","$16000"
"Henkel Corp (Henkel KGaA)","Germany/Henkel KGaA","$14000","$11000","$3000"
"Herbalife International","UK/Herbalife Ltd","$45413","$27414","$17999"
"Hill & Knowlton (WPP Group)","UK/WPP Group","$5000","$3000","$2000"
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$309500","$168500","$141000"
"Holcim US","Switzerland/Holcim Ltd","$121500","$87000","$34500"
"Horizon Wind Energy","Portugal/EDP Renovaveis","$0","$0","$0"
"HSBC North America","UK/HSBC Holdings","$524250","$257000","$267250"
"Iberdrola Renewables (Iberdrola SA)","Spain/Iberdrola SA","$22000","$18000","$4000"
"Iberdrola USA (Iberdrola SA)","Spain/Iberdrola SA","$30500","$20500","$10000"
"Indra Systems","Spain/Indra Systems SA","$0","$0","$0"
"Infineon Technologies","Germany/Infineon Technologies AG","$3000","$3000","$0"
"ING US (ING Group)","Netherlands/ING Group","$108000","$71500","$36500"
"Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$30500","$18500","$12000"
"International Power America","UK/International Power","$0","$0","$0"
"International Securities Exchange","Germany/Deutsche Boerse","$35600","$19100","$16500"
"Jackson National Life Insurance","UK/Prudential PLC","$71000","$19750","$51250"
"JBS USA","Brazil/JBS SA","$78500","$25000","$53500"
"John Hancock Financial Services","Canada/Manulife Financial","$103000","$68000","$35000"
"LaFarge North America","France/Lafarge SA","$61500","$25000","$36500"
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$4000","$0","$4000"
"Lehigh Cement","Germany/HeidelbergCement AG","$57567","$32000","$25567"
"Lone Star Industries","Italy/Buzzi Unicem","$0","$0","$0"
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$104750","$45500","$59250"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$171500","$84500","$87000"
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$39000","$23000","$16000"
"McDermott International (McDermott International)","Panama/McDermott International","$25000","$4500","$20500"
"Medimmune Inc (AstraZeneca PLC)","UK/AstraZeneca PLC","$92600","$59100","$33500"
"Metallurg Vanadium Corp","Netherlands/AMG Advanced Metallurgical Group","$250","$250","$0"
"Metro-Goldwyn-Mayer (Sony Corp)","Japan/Sony Corp","$0","$0","$0"
"Millennium Pharmaceuticals","Japan/Takeda Pharmaceutical Co","$10000","$7500","$2500"
"Miller Brewing (SABMiller)","UK/SABMiller PLC","$194000","$99500","$94500"
"MillerCoors LLC (SABMiller)","UK/SABMiller PLC","$0","$0","$0"
"National Grid USA (National Grid plc)","UK/National Grid plc","$51800","$36300","$15500"
"National Grid USA (National Grid plc)","UK/National Grid plc","$67600","$52150","$15450"
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$22750","$5250","$17500"
"Nestle USA (Nestle SA)","Switzerland/Nestle","$15900","$8900","$7000"
"Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$15500","$4000","$11500"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$359050","$139050","$220000"
"Novartis Vaccines & Diagnostics (Novartis AG)","Switzerland/Novartis AG","$0","$0","$0"
"Novo Nordisk","Denmark/Novo Nordisk A/S","$96044","$56544","$39500"
"Oldcastle Materials","Ireland/CRH PLC","$403100","$205100","$198000"
"Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$8500","$3000","$5500"
"Pharmavite LLC","Japan/Otsuka Pharmaceutical","$42168","$23668","$18500"
"Philips Electronics North America (Philips Electronics)","Netherlands/Philips Electronics","$114046","$39296","$74750"
"Philips Medical Systems (Philips Electronics)","Netherlands/Philips Electronics","-$2000","-$1000","-$1000"
"PotashCorp","Canada/Potash Corporation of Saskatchewan","$25000","$5000","$20000"
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$17000","$11000","$6000"
"QBE Regional Insurance","Australia/QBE Insurance Group","$0","$0","$0"
"Qimonda North America","Germany/Qimonda AG","$7500","$5500","$2000"
"QinetiQ North America (Qinetiq Group)","UK/QinetiQ Group","$33800","$19200","$14600"
"RBC Centura Banks (Royal Bank of Canada)","Canada/Royal Bank of Canada","$0","$0","$0"
"Reebok International","Germany/adidas AG","$500","$500","$0"
"Reed Elsevier Inc","UK/Reed Elsevier Group","$121300","$74800","$46500"
"Renewable Energy Systems Americas","UK/Renewable Energy Systems","$3000","$3000","$0"
"Research In Motion","Canada/Research in Motion","$19500","$11000","$8500"
"Rio Tinto America","UK/Rio Tinto Group","$43000","$19000","$24000"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$186500","$72500","$114000"
"Sanofi-Aventis US (Sanofi-Aventis)","France/Sanofi-Aventis","$105500","$59500","$46000"
"Sanofi-Pasteur Inc (Sanofi-Aventis)","France/Sanofi-Aventis","$52000","$28000","$24000"
"Santander Bank (Banco Santander)","Spain/Banco Santander","$10525","$6525","$4000"
"SAP America","Germany/SAP AG","$150500","$80500","$70000"
"Schaeffler Group USA","Germany/Schaeffler Group","$5800","$3500","$2300"
"Securitas Security Services USA","Sweden/Securitas AB","$15500","$6000","$9500"
"SES Americom (SES SA)","Luxembourg/SES SA","$16500","$9500","$7000"
"Shell Oil","Netherlands/Royal Dutch Shell","$75000","$25000","$50000"
"Shire Pharmaceuticals","UK/Shire Plc","$1250","$250","$1000"
"SI International","UK/Serco Group","$171750","$81500","$90250"
"Siemens Corp (Siemens AG)","Germany/Siemens AG","$303000","$177500","$125500"
"Skilled Healthcare Group (Onex Corp)","Canada/Onex Corp","$2300","$2300","$0"
"Smith & Nephew","UK/Smith & Nephew Plc","$28300","$13000","$15300"
"Smiths Detection","UK/Smiths Group PLC","$5500","$4000","$1500"
"Sodexo Inc","France/Sodexo","$34500","$30000","$4500"
"Solvay Pharmaceuticals","Belgium/Solvay SA","$177500","$52000","$125500"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$205500","$151500","$54000"
"Space Systems/Loral","UK/Loral Space & Communications","$0","$0","$0"
"Sparta Inc (Cobham Holdings)","UK/Cobham plc","$57100","$15000","$42100"
"Spirit Aerosystems (Onex Corp)","Canada/Onex Corp","$19150","$3500","$15650"
"SSAB Enterprises","Sweden/SSAB AB","$45250","$22500","$22750"
"Sun Life Assurance of Canada (Sun Life Financial)","Canada/Sun Life Financial","$12000","$10000","$2000"
"Swedish Match North America","Sweden/Swedish Match AB","$58075","$23227","$34848"
"Syngenta Corp","Switzerland/Syngenta AG","$200100","$92500","$107600"
"T-Mobile USA","Germany/Deutsche Telekom AG","$392000","$215500","$176500"
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$40500","$18000","$22500"
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$27350","$15100","$12250"
"Timex Group USA","Netherlands/Timex Group","$0","$0","$0"
"Tyco International (Tyco International)","Ireland/Tyco International","$190000","$109500","$80500"
"UBS Americas","Switzerland/UBS AG","$842500","$436500","$406000"
"Ultra Electronics Prologic","UK/Ultra Electronics","$45000","$44000","$1000"
"UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$2600","$2600","$0"
"United Water","France/SUEZ Environnement","$13150","$13100","$50"
"Universal Music Group (Vivendi Universal)","France/Vivendi Universal","$167440","$98040","$69400"
"VT Halter Marine","Singapore/ST Engineering","$7000","$1000","$6000"
"Wackenhut Corp","Denmark/Group 4 Securicor","$14750","$5000","$9750"
"Weatherford US","UK/Weatherford International","$1000","$1000","$0"
"Westfield Corp","Australia/Westfield Group of Australia","$22158","$19658","$2500"
"Westinghouse Electric","Japan/Toshiba Corp","$27100","$10000","$17100"
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$101579","$59579","$42000"
"Willis North America","UK/Willis Group","$18000","$15000","$3000"
"XL America","UK/XL Capital","$10900","$8600","$2300"
"Zurich Insurance (Zurich Financial Services)","Switzerland/Zurich Financial Services","$200211","$93211","$107000"
