"PAC Name (Affiliate)","Country of Origin/Parent Company","Total","Dems","Repubs"
"Burson-Marsteller (WPP Group)","UK/WPP Group","$83500","$46500","$37000"
"Business Men's Assurance Co","Italy/Assicurazioni Generali","$4000","$2000","$2000"
"Cable & Wireless USA","UK/Cable & Wireless PLC","$67000","$27000","$40000"
"Case New Holland","Italy/Fiat SPA","$59000","$8500","$50500"
"Celanese Americas Corp","Germany/Celanese AG","$43850","$16500","$26850"
"Central Soya Co","Italy/Montedison","$10500","$1000","$9500"
"CGU Corp","UK/CGU PLC","$500","$500","$0"
"Ciba Specialty Chemicals","Switzerland/Ciba Specialty Chemicals Holding","$19500","$4000","$15500"
"CIBC Oppenheimer","Canada/Canadian Imperial Bank of Commerce","$0","$0","$0"
"Coral Energy (Royal Dutch/Shell Group of Companies)","Netherlands/Royal Dutch Shell","$27500","$3500","$23500"
"Credit Suisse First Boston (Credit Suisse Group)","Switzerland/Credit Suisse Group","$18500","$500","$18000"
"Credit Suisse First Boston (Credit Suisse Group)","Switzerland/Credit Suisse Group","$225857","$99857","$126000"
"CSR America","Australia/CSR Ltd","$102750","$9000","$93750"
"DaimlerChrysler (DaimlerChrysler)","Germany/DaimlerChrysler AG","$450100","$166650","$283450"
"Deutsche Bank North America","Germany/Deutsche Bank AG","$144000","$67000","$77000"
"Equitable Life Assurance Society (AXA)","France/AXA","$133000","$62000","$71000"
"Equitable of Iowa Companies (ING Group)","Netherlands/ING Group","$8200","$3700","$4500"
"Essroc Corp","Italy/Italcementi Group","$2500","$0","$2500"
"Experian (GUS plc)","UK/GUS plc","$5250","$750","$4500"
"Farmers Group (Zurich Financial Services)","Switzerland/Zurich Financial Services","$52594","$4000","$48594"
"Fireman's Fund Insurance (Allianz)","Germany/Allianz AG Holding","$63900","$17050","$46850"
"Food Lion","Belgium/Delhaize Group","$25000","$13750","$11250"
"Fortis Inc","Belgium/Fortis AG","$8500","$2500","$6000"
"GEC-Marconi Hazeltine (BAE Systems)","UK/BAE Systems","$0","$0","$0"
"Genentech Inc (Roche Holdings)","Switzerland/Roche Group","$123250","$62750","$60500"
"Gilman Paper","Mexico/Grupo Industrial Durango","$12412","$0","$12412"
"GKN Corp","UK/GKN PLC","$4775","$0","$4775"
"GlaxoSmithKline (GlaxoSmithKline)","UK/GlaxoSmithKline","$604759","$109998","$494761"
"GlaxoSmithKline (GlaxoSmithKline)","UK/GlaxoSmithKline","$135500","$35750","$99750"
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$12065","$7315","$4750"
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$46000","$5000","$41000"
"Greyhound Lines","Canada/Laidlaw","$36500","$20000","$16500"
"Guinness/UDV North America (Diageo PLC)","UK/Diageo PLC","$97500","$48500","$49000"
"Heublein Distributors","UK/Diageo PLC","$1500","$500","$1000"
"Hill & Knowlton (WPP Group)","UK/WPP Group","$42500","$21000","$21500"
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$143249","$48000","$95249"
"Holnam Inc","Switzerland/Holderbank Financiere Glaris","$52250","$12000","$40250"
"HSBC USA","UK/HSBC Holdings","$7160","$3500","$3660"
"ING US (ING Group)","Netherlands/ING Group","$86500","$25000","$61500"
"Instinet Corp","UK/Reuters Group","$47800","$17250","$30550"
"Jackson National Life Insurance","UK/Prudential PLC","$77100","$19500","$57600"
"Joseph E Seagram & Sons (Vivendi Universal)","France/Vivendi Universal","$117822","$50000","$67822"
"Kennecott Energy","UK/Rio Tinto PLC","$71045","$12000","$59045"
"LaFarge Corp","France/Lafarge SA","$21550","$10100","$11450"
"LaSalle National Corp (ABN AMRO)","Netherlands/ABN Amro Holding","$23075","$12375","$10700"
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$13500","$2000","$11500"
"Lehigh Portland Cement","Germany/HeidelbergCement AG","$11500","$3000","$8500"
"Lone Star Industries","Germany/Dyckerfhoff","$7000","$1000","$6000"
"Loral Space & Communications","UK/Loral Space & Communications","$107000","$86000","$21000"
"Louisville Gas & Electric","UK/PowerGen","$5000","$0","$5000"
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$37000","$7500","$29500"
"Mallinckrodt Pharmaceuticals (Tyco International)","Ireland/Tyco International","$149400","$55500","$93900"
"Massachusetts Financial Services","Canada/Sun Life Financial Services","$21000","$11500","$9500"
"Master Builders Inc","Germany/E.ON AG","$2000","$0","$2000"
"Michigan National Bank","Australia/National Australia Bank","$16500","$1000","$15500"
"National Grid USA (National Grid plc)","UK/National Grid plc","$52000","$33000","$19000"
"National Steel Corp","Japan/NKK Corp","$0","$0","$0"
"NCS Pearson (Pearson PLC)","UK/Pearson PLC","$600","$300","$300"
"Nestle USA (Nestle SA)","Switzerland/Nestle","$52000","$13000","$37500"
"News America Publishing","Australia/News Corp","$82500","$31000","$51500"
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$157969","$33733","$124236"
"Oldcastle Materials","Ireland/CRH PLC","$81841","$28000","$53841"
"ONDEO Nalco","France/Suez Lyonnaise des Eaux","$35750","$4750","$31000"
"Oppenheimer Capital (Allianz)","Germany/Allianz AG Holding","$0","$0","$0"
"Organon Inc","Netherlands/Akzo Nobel","$2250","$250","$2000"
"PacifiCorp","UK/Scottish Power","$11500","$4250","$7250"
"PaineWebber","Switzerland/UBS AG","$85950","$29950","$56000"
"Peter Pan Seafoods","Japan/Nichiro Corp","$1700","$0","$1700"
"Philips Electronics North America","Netherlands/Philips Electronics","$55700","$6500","$49200"
"Pilkington North America","UK/Pilkington Group","$13500","$1000","$12500"
"Pillsbury Co (Diageo PLC)","UK/Diageo PLC","$33000","$8500","$24500"
"Pinkerton Tobacco","Sweden/Swedish Match AB","$49750","$8000","$40750"
"Reed Elsevier Inc","UK/Reed Elsevier Group","$10250","$4250","$6000"
"Reliastar Financial (ING Group)","Netherlands/ING Group","$54096","$21715","$32381"
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce International","$54629","$15218","$39411"
"Sagem Morpho Inc","France/Sagem SA","$2000","$2000","$0"
"Sea-Land Service (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$74100","$24500","$49350"
"Security Life of Denver (ING Group)","Netherlands/ING Group","$13600","$4100","$9500"
"Serono Inc","Switzerland/Serono SA","$7000","$5000","$2000"
"Shaklee Corp (Yamanouchi Consumer)","Japan/Yamanouchi Pharmaceutical","$0","$0","$0"
"Shell Oil (Royal Dutch/Shell Group of Companies)","Netherlands/Royal Dutch/Shell Group of Companies","$118600","$29500","$89100"
"Siemens Corp (Siemens AG)","Germany/Siemans AG","$10000","$4000","$6000"
"Siemens ElectroCom (Siemens AG)","Germany/Siemens AG","$4500","$1000","$3500"
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$78750","$50000","$28750"
"Standard Federal Bank (ABN AMRO)","Netherlands/ABN Amro Holding","$2750","$0","$2750"
"Syngenta Corp","Switzerland/Syngenta AG","$0","$0","$0"
"Syntex (USA) Inc (Roche Holdings)","Switzerland/Roche Holdings","$8750","$6250","$2500"
"Tate & Lyle North American Sugars (Tate & Lyle)","UK/Tate & Lyle","$2100","$2100","$0"
"Timex Corp","Netherlands/Timex Group","$0","$0","$0"
"Tractebel","Belgium/Tractabel","$2000","$0","$2000"
"TransAmerica (Aegon NV)","Netherlands/Aegon NV","$31000","$8000","$23000"
"UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$9750","$7750","$2000"
"United Water Resources","France/SUEZ SA","$9035","$7450","$1585"
"Universal Studios (Vivendi Universal)","France/Vivendi Universal","$148750","$65500","$83250"
"US Surgical Corp (Tyco International)","Ireland/Tyco International","$7100","$0","$7100"
"USFilter Corp (Vivendi Universal)","France/Vivendi Universal","$17250","$15000","$2250"
"Vodafone Group","UK/Vodafone Group","$49850","$14600","$35250"
"Westfield Corp","Australia/Westfield Group of Australia","$29850","$19350","$10500"
"Westinghouse Electric (BNFL PLC)","UK/BNFL PLC","$27000","$8000","$19000"
"Westinghouse Electric (BNFL PLC)","UK/British Nuclear Fuels PLC","$250","$250","$0"
"Wexler Group (WPP Group)","UK/WPP Group","$121093","$53000","$68093"
"Zenith Electronics","South Korea/LG Electronics","$0","$0","$0"
"Zurich Insurance (Zurich Financial Services)","Switzerland/Zurich Financial Services","$80787","$25250","$55537"
